time,flux [mJy],error
0.0,8.70668611141964e-29,0.023158154484867036
1.0,8.753880867068404e-29,0.027266369162544952
2.0,8.801075622717168e-29,0.06108185053411291
3.0,8.848270378365932e-29,0.06305083351228039
4.0,8.96889087074535e-29,0.018616539500078286
5.0,9.089511363124768e-29,0.03528381902563827
6.0,9.210131855504185e-29,0.027496365438819066
7.0,9.306294428804291e-29,0.07037864059684204
8.0,9.402457002104395e-29,0.012356434549095172
9.0,9.4986195754045e-29,0.009983048878269535
10.0,9.425161794780752e-29,0.03207122743789502
11.0,9.351704014157005e-29,0.10411492358888857
12.0,9.278246233533257e-29,0.052863902455220324
13.0,9.319874742874968e-29,0.012154884237443563
14.0,9.36150325221668e-29,0.04838578647500344
15.0,9.40313176155839e-29,0.013942041941436832
16.0,9.378998238835891e-29,0.0028897054848267866
17.0,9.354864716113393e-29,0.033733666186333576
18.0,9.330731193390896e-29,0.0384391397958785
19.0,9.309925953023292e-29,0.008550092076820509
20.0,9.289120712655692e-29,0.011541246602574317
21.0,9.26831547228809e-29,0.07004453948706306
22.0,9.278216006173008e-29,0.07827713091507368
23.0,9.288116540057926e-29,0.11449682418812457
24.0,9.298017073942845e-29,0.05987923483565234
25.0,9.292006428793287e-29,0.038286645582500445
26.0,9.285995783643731e-29,0.08029625618415956
27.0,9.279985138494172e-29,0.03465877420051371
28.0,9.351316477567241e-29,0.03007505731521576
29.0,9.422647816640311e-29,0.07818655457338959
30.0,9.49397915571338e-29,0.017926272302674986
31.0,9.523002140113474e-29,0.08673384463175182
32.0,9.552025124513568e-29,0.021361189971655647
33.0,9.581048108913662e-29,0.0328646142550451
34.0,9.571798924102968e-29,0.036041142483951606
35.0,9.562549739292273e-29,0.02085205687510638
36.0,9.553300554481581e-29,0.08492532264465698
37.0,9.563228091992957e-29,0.030349192027888907
38.0,9.573155629504333e-29,0.009928714106991423
39.0,9.583083167015709e-29,0.06700507401248242
40.0,9.58631455616933e-29,0.007744332234340809
41.0,9.589545945322949e-29,0.05532371908540421
42.0,9.59277733447657e-29,0.06825533475403887
43.0,9.664332509810042e-29,0.06469155257709573
44.0,9.735887685143512e-29,0.005641861864225834
45.0,9.807442860476984e-29,0.020762025157320993
46.0,9.777395467662098e-29,0.09315978587220539
47.0,9.747348074847211e-29,0.03499028898855013
48.0,9.717300682032324e-29,0.03927139696461377
49.0,9.718406999689383e-29,0.03872434397453421
50.0,9.719513317346441e-29,0.055150496277573915
51.0,9.7206196350035e-29,0.03407660485648683
52.0,9.652915548678246e-29,0.03383347149089958
53.0,9.585211462352993e-29,0.036313670026185456
54.0,9.517507376027738e-29,0.008526721776696672
55.0,9.351055370596572e-29,0.07544289355700287
56.0,9.184603365165405e-29,0.07388074322548975
57.0,9.018151359734238e-29,0.002932402235974663
58.0,9.04407175534755e-29,0.05503476975809607
59.0,9.069992150960863e-29,0.037101809658155065
60.0,9.095912546574173e-29,0.08293873383587905
61.0,9.133730106221573e-29,0.006026226119833375
62.0,9.171547665868973e-29,0.00010046993320860017
63.0,9.209365225516373e-29,0.11106415095695328
64.0,9.151726494478899e-29,0.05167024168446016
65.0,9.094087763441427e-29,0.03583890384798311
66.0,9.036449032403953e-29,0.03837667396728228
67.0,9.157493799821163e-29,0.02114878377051475
68.0,9.278538567238371e-29,0.09271464426733866
69.0,9.39958333465558e-29,0.008976003894877009
70.0,9.298679844119053e-29,0.019752576366136858
71.0,9.197776353582525e-29,0.008969283216378994
72.0,9.096872863045999e-29,0.013387579050378441
73.0,9.086434360293025e-29,0.010729517736103398
74.0,9.07599585754005e-29,0.049419645200005566
75.0,9.065557354787075e-29,0.03047952723505253
76.0,9.041602632721106e-29,0.04201783363228441
77.0,9.017647910655136e-29,0.13636360690561838
78.0,8.993693188589167e-29,0.12920110776206245
79.0,9.071593687482988e-29,0.021437354183191343
80.0,9.149494186376808e-29,0.042229455380106695
81.0,9.227394685270629e-29,0.026990697555210094
82.0,9.299971889244785e-29,0.006053550090945275
83.0,9.372549093218939e-29,0.04689128417725141
84.0,9.445126297193092e-29,0.01658992945242965
85.0,9.438760216686752e-29,0.0549804971559433
86.0,9.43239413618041e-29,0.002079750721530014
87.0,9.42602805567407e-29,0.016196550147194705
88.0,9.432946941101002e-29,0.016976834729606743
89.0,9.439865826527937e-29,0.031681402784568324
90.0,9.44678471195487e-29,0.03595800748267461
91.0,9.378952909472599e-29,0.03879878991062499
92.0,9.311121106990325e-29,0.008544975070582382
93.0,9.243289304508052e-29,0.17401653383906152
94.0,9.112420493725838e-29,0.04603410300197168
95.0,8.981551682943624e-29,0.02024275648262766
96.0,8.850682872161408e-29,0.05377748386187351
97.0,8.818713293686672e-29,0.044141689152997515
98.0,8.786743715211936e-29,0.029787139847558958
99.0,8.754774136737198e-29,0.10641901228853022
100.0,8.753174360485733e-29,0.025052044014451783
