time,normalised_flux [arbitary unit],error
0.0,0.5802102273932649,0.02348296133121207
1.0,0.5741112421245074,0.03274017577838328
2.0,0.5682184847063958,0.024293660189116027
3.0,0.5625263346252092,0.05761534662351541
4.0,0.5570047431385299,0.027981566096008537
5.0,0.5514655044573111,0.07451105800863449
6.0,0.5458012529260596,0.08997995028355861
7.0,0.5399087521599235,0.08311463491450584
8.0,0.5339609175086881,0.011225201238191575
9.0,0.5280065896131265,0.02634530301615459
10.0,0.5221186612056864,0.0021421918612780973
11.0,0.5164750647518381,0.06396363838308068
12.0,0.5111855346959491,0.03738274263348245
13.0,0.5063411045711977,0.004692558785055425
14.0,0.501927769027185,0.04165559762163155
15.0,0.49795267936278426,0.06530100967925317
16.0,0.49440239919666246,0.019693818455413938
17.0,0.4913020160706101,0.04961884748925735
18.0,0.4886429898175197,0.08405527884265306
19.0,0.4864153492763688,0.05647588135524707
20.0,0.48439906779297726,0.013672445085193989
21.0,0.48248914970948803,0.0834872963747586
22.0,0.480576663342279,0.03192280375566235
23.0,0.4786256677757511,0.04974738490329456
24.0,0.476582861181687,0.025312037069933752
25.0,0.4744174882643383,0.05017140607389073
26.0,0.47204889359634833,0.004970088503487197
27.0,0.4694452773461262,0.0036190247861599824
28.0,0.4665803688917841,0.0011354460503657717
29.0,0.4635071800161685,0.10878742308512082
30.0,0.4602453227442408,0.0051683724613534356
31.0,0.45682238622184856,0.06481011789492468
32.0,0.4531704777816529,0.08149116871943743
33.0,0.44927602738900446,0.0015541687627710686
34.0,0.44512200706363164,0.0002170394529513307
35.0,0.44049473458310273,0.0392607340658533
36.0,0.43529763940408595,0.03899196619616109
37.0,0.42944086286451316,0.039414560079846485
38.0,0.4232797426853308,0.05417644654090295
39.0,0.41695180559993633,0.015190024362907922
40.0,0.41062010152097694,0.004605479600696441
41.0,0.4043161388379254,0.07312913268558807
42.0,0.3981194452759021,0.07932269741415435
43.0,0.39207461064352706,0.05200744530233175
44.0,0.3859312245421104,0.017890034963659932
45.0,0.3795750205613959,0.03219876273269201
46.0,0.37288513941519635,0.030615022185567355
47.0,0.3662204409025863,0.04301331368044943
48.0,0.3597004373362991,0.003399196537883889
49.0,0.35347270353134613,0.09877839614932743
50.0,0.3473790168452355,0.052914556515858906
51.0,0.3414086953288326,0.00498900118221926
52.0,0.33551456461860696,0.05788841440968299
53.0,0.3298482490220081,0.0770667345606848
54.0,0.3244388362881379,0.01919040641660072
55.0,0.31932871585863676,0.021050012087763276
56.0,0.31470947628088747,0.0232138203194705
57.0,0.31068262530066604,0.0016992765021640436
58.0,0.3073352710352167,0.006494303286902119
59.0,0.30459608299891683,0.019423255574994948
60.0,0.302443526334785,0.04432967525243859
