time,flux [mJy],error
0.0,4.56988320040535e-27,0.023158154484867036
1.0,4.5919071471707244e-27,0.027266369162544952
2.0,4.6301149250175525e-27,0.06108185053411291
3.0,4.684506533945835e-27,0.06305083351228039
4.0,4.7287042252024e-27,0.018616539500078286
5.0,4.735946869190596e-27,0.03528381902563827
6.0,4.706234465910423e-27,0.027496365438819066
7.0,4.726593537085054e-27,0.07037864059684204
8.0,4.7326280645129745e-27,0.012356434549095172
9.0,4.724338048194186e-27,0.009983048878269535
10.0,4.7173754422240126e-27,0.03207122743789502
11.0,4.717082246587387e-27,0.10411492358888857
12.0,4.7234584612843096e-27,0.052863902455220324
13.0,4.722886716000051e-27,0.012154884237443563
14.0,4.7392344781375335e-27,0.04838578647500344
15.0,4.7725017476967546e-27,0.013942041941436832
16.0,4.7875294973503446e-27,0.0028897054848267866
17.0,4.794225861012422e-27,0.033733666186333576
18.0,4.792590838682986e-27,0.0384391397958785
19.0,4.79929210764983e-27,0.008550092076820509
20.0,4.804536610569982e-27,0.011541246602574317
21.0,4.808324347443442e-27,0.07004453948706306
22.0,4.842037897470168e-27,0.07827713091507368
23.0,4.8536407621163305e-27,0.11449682418812457
24.0,4.843132941381929e-27,0.05987923483565234
25.0,4.846113860794012e-27,0.038286645582500445
26.0,4.834010169458445e-27,0.08029625618415956
27.0,4.806821867375226e-27,0.03465877420051371
28.0,4.736040842394335e-27,0.03007505731521576
29.0,4.707021036780864e-27,0.07818655457338959
30.0,4.719762450534812e-27,0.017926272302674986
31.0,4.737818000643164e-27,0.08673384463175182
32.0,4.735038579726217e-27,0.021361189971655647
33.0,4.7114241877839724e-27,0.0328646142550451
34.0,4.7658249120908304e-27,0.036041142483951606
35.0,4.771866083638821e-27,0.02085205687510638
36.0,4.729547702427945e-27,0.08492532264465698
37.0,4.726396695024309e-27,0.030349192027888907
38.0,4.720254163235934e-27,0.009928714106991423
39.0,4.7111201070628206e-27,0.06700507401248242
40.0,4.746492468498063e-27,0.007744332234340809
41.0,4.7808660097770235e-27,0.05532371908540421
42.0,4.8142407308997045e-27,0.06825533475403887
43.0,4.8133346351438435e-27,0.06469155257709573
44.0,4.815315117417039e-27,0.005641861864225834
45.0,4.82018217771929e-27,0.020762025157320993
46.0,4.792309966829462e-27,0.09315978587220539
47.0,4.750467535974472e-27,0.03499028898855013
48.0,4.694654885154319e-27,0.03927139696461377
49.0,4.681575112679028e-27,0.03872434397453421
50.0,4.675072494877785e-27,0.055150496277573915
51.0,4.675147031750591e-27,0.03407660485648683
52.0,4.702952492722378e-27,0.03383347149089958
53.0,4.730256107391759e-27,0.036313670026185456
54.0,4.757057875758736e-27,0.008526721776696672
55.0,4.742536950641626e-27,0.07544289355700287
56.0,4.729187673542803e-27,0.07388074322548975
57.0,4.717010044462269e-27,0.002932402235974663
58.0,4.685686421270169e-27,0.05503476975809607
59.0,4.649726138241762e-27,0.037101809658155065
60.0,4.6091291953770494e-27,0.08293873383587905
61.0,4.56155369663889e-27,0.006026226119833375
62.0,4.561437008436789e-27,0.00010046993320860017
63.0,4.6087791307707454e-27,0.11106415095695328
64.0,4.592105478137474e-27,0.05167024168446016
65.0,4.576440821459192e-27,0.03583890384798311
66.0,4.561785160735899e-27,0.03837667396728228
67.0,4.5262406471867195e-27,0.02114878377051475
68.0,4.517090356735123e-27,0.09271464426733866
