time,flux [mJy],error
0.0,7.265165191439107e-34,0.009974423110754091
1.0,7.270139666980848e-34,0.04415608373767523
2.0,7.2748959292155095e-34,0.009915433322799998
3.0,7.279366447151942e-34,0.06315447081509198
4.0,7.283605957266174e-34,0.027781340512698767
5.0,7.287495011152833e-34,0.048497599149876974
6.0,7.291295129087357e-34,0.006721953522568946
7.0,7.294714482682322e-34,0.02669455477077833
8.0,7.297677028149529e-34,0.04215836410572292
9.0,7.300227201316205e-34,0.012929686621565345
10.0,7.302323637875585e-34,0.025071172036361694
11.0,7.304370614799902e-34,0.04598346086328811
12.0,7.306372882880002e-34,0.03397263084677438
13.0,7.308296069561554e-34,0.023385669173956184
14.0,7.3099441881420995e-34,0.01790015289074746
15.0,7.311592293759958e-34,0.050238915544522644
16.0,7.312966224359089e-34,0.021230250595577448
17.0,7.31388055427506e-34,0.04445468579809457
18.0,7.314686671390987e-34,0.00937898934018102
19.0,7.315321757031582e-34,0.06840459297135534
20.0,7.315941537961847e-34,0.1246855166254842
21.0,7.316537448779417e-34,0.010325347723440154
22.0,7.317248677849922e-34,0.017064992284978247
23.0,7.3178795049867945e-34,0.04637732085272475
24.0,7.318303532034079e-34,0.03199650099240741
25.0,7.318725103554742e-34,0.05163470862493156
26.0,7.3189159557044175e-34,0.063157920298009
27.0,7.318826144188994e-34,0.03528963204624219
28.0,7.318435455084335e-34,0.01066141172651541
29.0,7.317791890884269e-34,0.006749600896931485
30.0,7.316841590847369e-34,0.0038363956070926806
31.0,7.315399279272601e-34,0.0009011911339825636
32.0,7.313514225299842e-34,0.04583935995929493
33.0,7.310882574698191e-34,0.06482622949794163
34.0,7.307869955930395e-34,0.024984240676906633
35.0,7.304170623181293e-34,0.007618918324444288
36.0,7.299808235254514e-34,0.06797843644936935
37.0,7.294956922975068e-34,0.028082978734071225
38.0,7.289541314992703e-34,0.0646111658955064
39.0,7.283978614314811e-34,0.010337230351184234
40.0,7.277959260301458e-34,0.004777398404261152
41.0,7.2717324757358055e-34,0.05204058845355136
42.0,7.2653167382614386e-34,0.011300803982045957
43.0,7.258553223679405e-34,0.07604643145764153
44.0,7.251683223081128e-34,0.03925238307343733
45.0,7.244647119372246e-34,0.061644144705769614
46.0,7.237626875006434e-34,0.022889320779966593
47.0,7.2307202330873175e-34,0.05447369528078497
48.0,7.2242604693800335e-34,0.027106387201114357
49.0,7.218297170450106e-34,0.09094104988485271
50.0,7.212649217492098e-34,0.02176525177796795
51.0,7.207295793051616e-34,0.052267080526066045
52.0,7.202410591291257e-34,0.04667320041561885
53.0,7.197949866030425e-34,0.0431303266745998
54.0,7.193920370487375e-34,0.05714397988326447
55.0,7.189933968939703e-34,0.02092063367525121
56.0,7.186100452139669e-34,0.04271267048471411
57.0,7.182238932618791e-34,0.013931172693832324
58.0,7.17843859930002e-34,0.1133370908048482
59.0,7.1746395185112575e-34,0.0671145920565369
60.0,7.171021738578492e-34,0.0018273711726673474
61.0,7.167566004736958e-34,0.03199883507974937
62.0,7.164397696232292e-34,0.013826684472305884
63.0,7.161356197586119e-34,0.031203961721654384
64.0,7.158305630314707e-34,0.04709557180597783
65.0,7.155233566057343e-34,0.06095158072143182
66.0,7.152145198254676e-34,0.04770256388547039
67.0,7.149095709610472e-34,0.09074689875881878
68.0,7.146453508033406e-34,0.029400737063494567
69.0,7.1440076010194195e-34,0.026145241257078823
70.0,7.141611053061301e-34,0.09117455694643306
71.0,7.139285779355241e-34,0.028993918042943045
72.0,7.136952462249029e-34,0.02009749380676858
73.0,7.134711603856772e-34,0.12353077627021017
74.0,7.132224177085264e-34,0.11038062995002221
75.0,7.129646823557695e-34,0.003665423019881084
76.0,7.1269981397910345e-34,0.042453713829994154
77.0,7.124313850288025e-34,0.009488416999334448
78.0,7.121485192726674e-34,0.004540171951012161
