time,flux [mJy],error
0.0,9.26166575129679e-34,0.0004782838695461686
1.0,9.277554651401689e-34,0.020077232503689535
2.0,9.29274655955062e-34,0.024763788595978893
3.0,9.307025775985217e-34,0.09847788346721516
4.0,9.320567133688857e-34,0.0495233014331605
5.0,9.332989104244183e-34,0.00021737837154830447
6.0,9.34512700576603e-34,0.019164796038577948
7.0,9.356048713439097e-34,0.07962021954843346
8.0,9.365511336903557e-34,0.0080935987469101
9.0,9.37365680799001e-34,0.05619114679358725
10.0,9.380353005566766e-34,0.01728450224278985
11.0,9.386891224841259e-34,0.03794763500647921
12.0,9.393286640245554e-34,0.012790338669314526
13.0,9.399429462902905e-34,0.005515341284766471
14.0,9.404693694532466e-34,0.016740385064533465
15.0,9.409957884758098e-34,0.01082912512125744
16.0,9.414346336537078e-34,0.08579100401247786
17.0,9.41726678444679e-34,0.11185312920151357
18.0,9.419841591422991e-34,0.036133991488392116
19.0,9.421870109246989e-34,0.007230478031165018
20.0,9.423849742517928e-34,0.017758655340488587
21.0,9.425753132608467e-34,0.03957378477780274
22.0,9.428024859056438e-34,0.051989337174646016
23.0,9.430039774855527e-34,0.018507293792861486
24.0,9.43139415349093e-34,0.07664313158698105
25.0,9.432740688964405e-34,0.008559037318699782
26.0,9.433350287044757e-34,0.004502067909960448
27.0,9.433063421387291e-34,0.007666247773167491
28.0,9.431815526990402e-34,0.03635376823012395
29.0,9.429759927922696e-34,0.00856325158073105
30.0,9.426724588371966e-34,0.0621553094664139
31.0,9.422117721911504e-34,0.01379606221851543
32.0,9.41609669838567e-34,0.07375969944496723
33.0,9.407690981407113e-34,0.008818154923724819
34.0,9.39806841954024e-34,0.18180508501267523
35.0,9.38625243451588e-34,0.07621492807301689
36.0,9.372318594575209e-34,0.0013988184651635767
37.0,9.356823088458236e-34,0.048019500641717935
38.0,9.339525173629415e-34,0.058998615779724484
39.0,9.32175743215741e-34,0.013634974327770872
40.0,9.302531100896625e-34,0.011654435241810762
41.0,9.282642218720366e-34,0.034133769131364254
42.0,9.262149804801736e-34,0.052356067593564364
43.0,9.240546561072782e-34,0.05994582764073503
44.0,9.218603191905385e-34,0.020233060217827586
45.0,9.196129275204008e-34,0.03732737837595377
46.0,9.173706014600076e-34,0.04178302522288102
47.0,9.151645609921769e-34,0.053218646778620496
48.0,9.13101257245178e-34,0.017115651923952233
49.0,9.111965285919118e-34,0.06776296801762252
50.0,9.093925241376949e-34,0.002689288866626678
51.0,9.07682594609643e-34,0.07767211453981185
52.0,9.061222194080504e-34,0.029779890398319322
53.0,9.04697425628887e-34,0.057166405040663996
54.0,9.034103703077894e-34,0.011329341180481418
55.0,9.021370795771895e-34,0.010274236550388166
56.0,9.009126215418628e-34,0.07244036091813733
57.0,8.996792191981284e-34,0.047140299268318045
58.0,8.984653602503739e-34,0.012482313913477101
59.0,8.972519013714115e-34,0.026666030438005268
60.0,8.960963515356371e-34,0.04598640566832356
61.0,8.949925606065933e-34,0.000836600811933975
62.0,8.939805757870938e-34,0.026544880724747796
63.0,8.930090951203838e-34,0.019907592308384906
64.0,8.920347178572528e-34,0.009840783702623035
65.0,8.9105347427305e-34,0.06282617784849304
66.0,8.90067023197112e-34,0.007500080441054094
67.0,8.890929904567317e-34,0.08759313838378924
68.0,8.882490486871374e-34,0.028554906057713804
69.0,8.87467805078942e-34,0.03803777809330223
70.0,8.867023271751184e-34,0.028200668940210852
71.0,8.859596148766636e-34,0.10507647485883086
72.0,8.852143334474443e-34,0.01169530489434427
73.0,8.844985841218114e-34,0.017803098287142542
74.0,8.837040787481472e-34,0.010669057652033291
75.0,8.828808499998919e-34,0.08232328131998415
76.0,8.820348377635302e-34,0.04391342156642996
77.0,8.811774527506168e-34,0.034756765760654056
78.0,8.80273955345792e-34,0.04465140255515446
79.0,8.793364057983643e-34,0.025867937298502394
80.0,8.782961138274685e-34,0.05350237338556096
81.0,8.77174365750859e-34,0.030735209904031488
82.0,8.759592359693242e-34,0.12767392537891442
83.0,8.746980334163893e-34,0.022971040336355327
84.0,8.733215859796492e-34,0.14625949919436518
85.0,8.719221731167492e-34,0.034220440560585666
86.0,8.70570223809978e-34,0.0050532739316090656
87.0,8.691143030591253e-34,0.04812079417485065
88.0,8.676543406926337e-34,0.050704321962451865
89.0,8.662183965033782e-34,0.00378693585585471
90.0,8.6475345666312e-34,0.05791910787680831
91.0,8.632627007733592e-34,0.02692356298809469
92.0,8.617534250466093e-34,0.04740244943392166
93.0,8.602144986851462e-34,0.04847058811818683
94.0,8.586397181746129e-34,0.0683455663721438
95.0,8.569466902192302e-34,0.06353913822626701
96.0,8.552581552563362e-34,0.03797938638184968
97.0,8.536050611064891e-34,0.04597046725707784
98.0,8.519197456435471e-34,0.049085969222363704
