time,flux [mJy],error
0.0,2.0282583144963e-27,0.0004782838695461686
1.0,2.0294950610541297e-27,0.020077232503689535
2.0,2.0306775557508056e-27,0.024763788595978893
3.0,2.0317890091338218e-27,0.09847788346721516
4.0,2.0328430297027565e-27,0.0495233014331605
5.0,2.0338099203763925e-27,0.00021737837154830447
6.0,2.0347546999286154e-27,0.019164796038577948
7.0,2.035604814428745e-27,0.07962021954843346
8.0,2.036341357985596e-27,0.0080935987469101
9.0,2.036975378167079e-27,0.05619114679358725
10.0,2.0374965910420372e-27,0.01728450224278985
11.0,2.0380055073376073e-27,0.03794763500647921
12.0,2.0385033081881968e-27,0.012790338669314526
13.0,2.0389814479415266e-27,0.005515341284766471
14.0,2.0393912006811433e-27,0.016740385064533465
15.0,2.0398009501979963e-27,0.01082912512125744
16.0,2.040142534737897e-27,0.08579100401247786
17.0,2.0403698540536337e-27,0.11185312920151357
18.0,2.0405702696672927e-27,0.036133991488392116
19.0,2.040728163695184e-27,0.007230478031165018
20.0,2.0408822526892262e-27,0.017758655340488587
21.0,2.041030407132085e-27,0.03957378477780274
22.0,2.0412072318239334e-27,0.051989337174646016
23.0,2.041364067109094e-27,0.018507293792861486
24.0,2.041469488069908e-27,0.07664313158698105
25.0,2.0415742985414207e-27,0.008559037318699782
26.0,2.0416217479131555e-27,0.004502067909960448
27.0,2.041599419110527e-27,0.007666247773167491
28.0,2.0415022865784008e-27,0.03635376823012395
29.0,2.0413422846239243e-27,0.00856325158073105
30.0,2.0411060224713256e-27,0.0621553094664139
31.0,2.040747437157066e-27,0.01379606221851543
32.0,2.04027877789991e-27,0.07375969944496723
33.0,2.0396245009222282e-27,0.008818154923724819
34.0,2.038875508217397e-27,0.18180508501267523
35.0,2.03795578572498e-27,0.07621492807301689
36.0,2.0368712154608205e-27,0.0013988184651635767
37.0,2.0356650895662984e-27,0.048019500641717935
38.0,2.034318669330729e-27,0.058998615779724484
39.0,2.0329356791324877e-27,0.013634974327770872
40.0,2.0314391564751932e-27,0.011654435241810762
41.0,2.02989106274887e-27,0.034133769131364254
42.0,2.0282959918372168e-27,0.052356067593564364
43.0,2.0266144571089886e-27,0.05994582764073503
44.0,2.02490644798905e-27,0.020233060217827586
45.0,2.0231571425659005e-27,0.03732737837595377
46.0,2.02141178006855e-27,0.04178302522288102
