time,flux,error
0.0,0.8038968582488565,0.017058945614539935
1.0,0.805829621568577,0.0037942089246373006
2.0,0.8075503888188368,0.00534155438669777
3.0,0.808998731377863,0.0752431090398326
4.0,0.8102441381195584,0.0373818873233846
5.0,0.8111824054842213,0.05126493029226634
6.0,0.8120801740233216,0.0648563854168156
7.0,0.8126435565013017,0.049537380678112336
8.0,0.8127928470729018,0.05014710567277639
9.0,0.8125688401707438,0.04351502916128708
10.0,0.8119415166880608,0.06077255494852322
11.0,0.8113282234346075,0.008478674055458445
12.0,0.8107498195627084,0.030502660887265432
13.0,0.81017925311297,0.01350562678342019
14.0,0.8094255383196444,0.09079586127032332
15.0,0.8087604354888764,0.003723578178700327
16.0,0.807906985182135,0.07160402198284337
17.0,0.8066802787261509,0.04159821136738257
18.0,0.8054249996101819,0.017744366922751113
19.0,0.8040787369978933,0.023680670670272363
20.0,0.8027969490914245,0.0625659505793975
21.0,0.8015776467385968,0.03770676569709841
22.0,0.8005693517033982,0.039841267773163797
23.0,0.7995822179890314,0.056653801565511225
24.0,0.7984890893148106,0.024253121220252707
25.0,0.7974813550812813,0.06575913748952837
26.0,0.7963194238467839,0.09169799612217377
27.0,0.7949431077508637,0.06320877508535613
28.0,0.7933352961597334,0.034370984118013384
29.0,0.7915521028951482,0.009292221288687662
30.0,0.7895514674045573,0.012280157355361745
31.0,0.7871597226989457,0.0618924866784096
32.0,0.7844297007626921,0.015328985514130315
33.0,0.7810600075255916,0.006965499850094411
34.0,0.7774104645033693,0.040931937578329664
35.0,0.7731775425804293,0.02810799443090274
36.0,0.7683894460329435,0.014858160841270375
37.0,0.7632314513782408,0.04640122562482851
38.0,0.7576466698334937,0.028041766976430373
39.0,0.7520664950257103,0.025758200567507973
40.0,0.7461940805452886,0.06546339727133521
41.0,0.7402814845672979,0.007822921528187416
42.0,0.7343445230742999,0.0005068149206407722
43.0,0.728218636702852,0.005738580069703113
44.0,0.7221392013240886,0.016540150091204804
45.0,0.7160480349711605,0.02713306130877663
46.0,0.7101265944509986,0.052390205844167315
47.0,0.7044768073703512,0.037943449978368696
48.0,0.6994290149290089,0.04529049465741372
49.0,0.6950269392152248,0.033192384069557344
50.0,0.6910799435423775,0.0013550410006931484
51.0,0.6875516738326337,0.029982647454664488
52.0,0.6845992509084887,0.04707714377519953
53.0,0.6821563477602659,0.016555760055370936
54.0,0.6802100906821582,0.03425012102843063
55.0,0.6783572934107176,0.08486983832746149
56.0,0.6766996331269592,0.04126144414059517
57.0,0.6750544556768258,0.02723752540245627
58.0,0.6735074994684291,0.02670429768700341
59.0,0.6719921455123788,0.051601142238075465
60.0,0.6706716392468686,0.09606740816977363
61.0,0.669511280679531,0.016183817856002817
62.0,0.668621309931169,0.05605113608336107
63.0,0.6678381229938446,0.103772952344696
64.0,0.6670284873756628,0.04587799288157323
65.0,0.6661862332983358,0.007914736001265027
66.0,0.6653166841480427,0.001775191295017916
67.0,0.6644699779157888,0.09292398667305966
68.0,0.6640026356793893,0.04105758459930254
69.0,0.6636944431430201,0.02929578601952204
70.0,0.6633936500083586,0.049274069942399766
71.0,0.6631218051609141,0.051885970621396105
72.0,0.6628000999011564,0.04043759920709681
73.0,0.6625286255095804,0.0027655702088948833
74.0,0.6619660303509556,0.055447460250628994
75.0,0.6612680897655866,0.013086352399929788
76.0,0.6604543529545496,0.038743919963439004
77.0,0.6595671526124322,0.06556383451788171
78.0,0.6585072016209411,0.014265087856012666
