time,flux [mJy],error
0.0,3.300212637831239e-27,0.023158154484867036
1.0,3.3249329575287705e-27,0.027266369162544952
2.0,3.367818480880596e-27,0.06108185053411291
3.0,3.4288692078867175e-27,0.06305083351228039
4.0,3.478477984614819e-27,0.018616539500078286
5.0,3.4866073393009236e-27,0.03528381902563827
6.0,3.453257271945031e-27,0.027496365438819066
7.0,3.476108886759725e-27,0.07037864059684204
8.0,3.482882216210205e-27,0.012356434549095172
9.0,3.473577260296472e-27,0.009983048878269535
10.0,3.465762228442998e-27,0.03207122743789502
11.0,3.465433137115793e-27,0.10411492358888857
12.0,3.472589986314858e-27,0.052863902455220324
13.0,3.471948242745325e-27,0.012154884237443563
14.0,3.4902974473943804e-27,0.04838578647500344
15.0,3.527637600262022e-27,0.013942041941436832
16.0,3.544505184429782e-27,0.0028897054848267866
17.0,3.552021378157499e-27,0.033733666186333576
18.0,3.550186181445173e-27,0.0384391397958785
19.0,3.5577078810299156e-27,0.008550092076820509
20.0,3.563594463949042e-27,0.011541246602574317
21.0,3.5678459302025505e-27,0.07004453948706306
22.0,3.605687001272956e-27,0.07827713091507368
23.0,3.618710394696303e-27,0.11449682418812457
24.0,3.60691611047259e-27,0.05987923483565234
25.0,3.6102619812942145e-27,0.038286645582500445
26.0,3.596676445398993e-27,0.08029625618415956
27.0,3.566159502786922e-27,0.03465877420051371
28.0,3.48671281756348e-27,0.03007505731521576
29.0,3.454140142013198e-27,0.07818655457338959
30.0,3.4684414761360774e-27,0.017926272302674986
31.0,3.4887075517740264e-27,0.08673384463175182
32.0,3.485587848735652e-27,0.021361189971655647
33.0,3.459082367020955e-27,0.0328646142550451
34.0,3.5201433253936415e-27,0.036041142483951606
35.0,3.5269241123981186e-27,0.02085205687510638
36.0,3.479424728034389e-27,0.08492532264465698
37.0,3.475887945494139e-27,0.030349192027888907
38.0,3.4689933888018936e-27,0.009928714106991423
39.0,3.458741057957652e-27,0.06700507401248242
40.0,3.498444027296033e-27,0.007744332234340809
