time,flux,error
0.0,8.606443895460042e-34,0.009974423110754091
1.0,8.624631521877166e-34,0.04415608373767523
2.0,8.642021319040709e-34,0.009915433322799998
3.0,8.658366380833983e-34,0.06315447081509198
4.0,8.673866834198813e-34,0.027781340512698767
5.0,8.688085953101518e-34,0.048497599149876974
6.0,8.701979905288876e-34,0.006721953522568946
7.0,8.714481710806146e-34,0.02669455477077833
8.0,8.725313339135438e-34,0.04215836410572292
9.0,8.734637256092169e-34,0.012929686621565345
10.0,8.742302225922506e-34,0.025071172036361694
11.0,8.749786361942789e-34,0.04598346086328811
12.0,8.75710703394574e-34,0.03397263084677438
13.0,8.764138569351018e-34,0.023385669173956184
14.0,8.770164403588728e-34,0.01790015289074746
15.0,8.776190190432396e-34,0.050238915544522644
16.0,8.781213541386756e-34,0.021230250595577448
17.0,8.784556505040743e-34,0.04445468579809457
18.0,8.787503822165917e-34,0.00937898934018102
19.0,8.789825815766466e-34,0.06840459297135534
20.0,8.792091852442199e-34,0.1246855166254842
21.0,8.794270615456897e-34,0.010325347723440154
22.0,8.796871003884342e-34,0.017064992284978247
23.0,8.799177427587294e-34,0.04637732085272475
24.0,8.800727750925311e-34,0.03199650099240741
25.0,8.8022690963921e-34,0.05163470862493156
26.0,8.802966888062817e-34,0.063157920298009
27.0,8.802638520121963e-34,0.03528963204624219
28.0,8.801210086627584e-34,0.01066141172651541
29.0,8.798857093804923e-34,0.006749600896931485
30.0,8.795382616563999e-34,0.0038363956070926806
31.0,8.790109251788383e-34,0.0009011911339825636
32.0,8.783217136801592e-34,0.04583935995929493
33.0,8.773595322883403e-34,0.06482622949794163
34.0,8.762580617066453e-34,0.024984240676906633
35.0,8.749055154639565e-34,0.007618918324444288
36.0,8.733105436677728e-34,0.06797843644936935
37.0,8.71536811851605e-34,0.028082978734071225
38.0,8.695567628197351e-34,0.0646111658955064
39.0,8.675229339075045e-34,0.010337230351184234
40.0,8.65322143871477e-34,0.004777398404261152
41.0,8.630455132898265e-34,0.05204058845355136
42.0,8.606997979396356e-34,0.011300803982045957
43.0,8.58226928680302e-34,0.07604643145764153
44.0,8.557151261130082e-34,0.03925238307343733
45.0,8.531425930969047e-34,0.061644144705769614
46.0,8.505758585575368e-34,0.022889320779966593
47.0,8.480506592281262e-34,0.05447369528078497
48.0,8.45688847051845e-34,0.027106387201114357
49.0,8.435085518178838e-34,0.09094104988485271
50.0,8.414435530545014e-34,0.02176525177796795
51.0,8.394862395053888e-34,0.052267080526066045
52.0,8.377001170519938e-34,0.04667320041561885
53.0,8.360691912606688e-34,0.0431303266745998
54.0,8.345959312361391e-34,0.05714397988326447
55.0,8.331384271939684e-34,0.02092063367525121
56.0,8.317368207163054e-34,0.04271267048471411
57.0,8.303249759125906e-34,0.013931172693832324
58.0,8.289355019452871e-34,0.1133370908048482
59.0,8.275464859267205e-34,0.0671145920565369
60.0,8.262237569410336e-34,0.0018273711726673474
61.0,8.249602750808973e-34,0.03199883507974937
62.0,8.238018813774097e-34,0.013826684472305884
63.0,8.226898517642252e-34,0.031203961721654384
64.0,8.215745064895891e-34,0.04709557180597783
65.0,8.204513015090142e-34,0.06095158072143182
66.0,8.19322135642939e-34,0.04770256388547039
67.0,8.182071847348758e-34,0.09074689875881878
68.0,8.172411457062549e-34,0.029400737063494567
69.0,8.163468756943085e-34,0.026145241257078823
70.0,8.154706522897058e-34,0.09117455694643306
71.0,8.146204881039839e-34,0.028993918042943045
72.0,8.137673830985545e-34,0.02009749380676858
73.0,8.129480827532204e-34,0.12353077627021017
74.0,8.12038632330145e-34,0.11038062995002221
75.0,8.11096302978821e-34,0.003665423019881084
76.0,8.10127893938694e-34,0.042453713829994154
77.0,8.091464667657894e-34,0.009488416999334448
78.0,8.08112255891575e-34,0.004540171951012161
79.0,8.07039066381692e-34,0.06842199998405031
80.0,8.05848270190233e-34,0.01964247273081421
81.0,8.045642332325578e-34,0.07546934690643593
82.0,8.031733045736216e-34,0.046761731734469056
83.0,8.017296375659833e-34,0.08409323061773863
84.0,8.001540526232272e-34,0.015280636105272197
85.0,7.985521797317301e-34,0.04932245444475542
86.0,7.970046371854176e-34,0.006336649424936125
87.0,7.953380811283825e-34,0.17147789887615617
88.0,7.936668987350447e-34,0.041899885728252095
89.0,7.920232093482653e-34,0.011822811135374445
90.0,7.903463293652411e-34,0.000734348952635993
91.0,7.886398983962568e-34,0.014513580012144473
92.0,7.869122682332291e-34,0.01860520827421907
93.0,7.851506977304902e-34,0.026109719424360158
94.0,7.83348085880365e-34,0.005073482186202187
95.0,7.814101191386172e-34,0.0009655779141134575
96.0,7.794772954129587e-34,0.007368371733247822
97.0,7.775850398992823e-34,0.07747232322281755
98.0,7.756559014546682e-34,0.026995187526778854
99.0,7.736380485707452e-34,0.0012331430582634998
100.0,7.716232656953145e-34,0.10358921008537372
101.0,7.695558498429232e-34,0.05364848853330069
102.0,7.674701667785486e-34,0.059243286712493376
103.0,7.6534580972828366e-34,0.021924034734224676
104.0,7.6324756510325484e-34,0.06554297771677303
105.0,7.612041470284368e-34,0.04076379066057885
106.0,7.591527254227799e-34,0.007063689004706825
107.0,7.5703639492378025e-34,0.07570564737612591
108.0,7.548025796345863e-34,0.008193428324910759
109.0,7.525454933672906e-34,0.04292843508723899
110.0,7.501690836990761e-34,0.05536169916907331
111.0,7.476948744497167e-34,0.04271770137113373
112.0,7.4511531507870835e-34,0.053480739603967854
113.0,7.424632825623298e-34,0.009811151761193368
114.0,7.396312018375499e-34,0.005832611950173745
115.0,7.367182531164488e-34,0.021143035560036293
116.0,7.3376783612176906e-34,0.01938240349226786
117.0,7.307879871623133e-34,0.014314413845505115
118.0,7.277772733156744e-34,0.04858300269613362
119.0,7.247702458772533e-34,0.0541222347466209
120.0,7.218001331295365e-34,0.025262329334307873
121.0,7.186803713481316e-34,0.002502089691779761
122.0,7.156420895451315e-34,0.05245595772405546
123.0,7.126422605097998e-34,0.04284120213711818
124.0,7.096367046600957e-34,0.03247566711036292
125.0,7.066351721224601e-34,0.018357628908496484
126.0,7.036900083731712e-34,0.0009320994687144779
127.0,7.007797914861943e-34,0.07579375608443707
128.0,6.9778176593587326e-34,0.002293002043436154
129.0,6.949057062535419e-34,0.021588939195947447
130.0,6.920718698704653e-34,0.002754731445751459
131.0,6.893595179301829e-34,0.04372493036871543
132.0,6.8669334161398705e-34,0.008188614873842008
133.0,6.842014000552721e-34,0.05960643947947987
134.0,6.818441724706432e-34,0.028625447807718314
135.0,6.796483387420095e-34,0.08198475449351297
136.0,6.775180197986353e-34,0.009678054652950394
137.0,6.7556051416994995e-34,0.0907089956755519
138.0,6.737635476015217e-34,0.027622520388686563
139.0,6.721784352896316e-34,0.0011242231664516655
140.0,6.70708966859523e-34,0.08512949199249054
141.0,6.693369910625857e-34,0.05969581704908618
142.0,6.682127380413834e-34,0.003059150257073446
143.0,6.67170121920407e-34,0.022788669505403467
144.0,6.662289471784587e-34,0.09026968923024324
145.0,6.6545421452952845e-34,0.005442195018091708
146.0,6.64798652498698e-34,0.06934673671478045
147.0,6.642876028593559e-34,0.06778666998489287
148.0,6.638637895482851e-34,0.13288808460511406
149.0,6.6355364848184706e-34,0.028105058492044307
150.0,6.6324593068315615e-34,0.07724979168054025
151.0,6.630825339076704e-34,0.07173496601428758
152.0,6.629861655090291e-34,0.08372943828994
153.0,6.629137084479146e-34,0.03543522052282821
154.0,6.629274857204182e-34,0.05702897172993481
155.0,6.629662207067202e-34,0.042341055710323795
156.0,6.62953396619042e-34,0.03129851323103874
157.0,6.6284270598789845e-34,0.05006673317476589
158.0,6.627205122384602e-34,0.04132448950245831
159.0,6.625512758475002e-34,0.0005371218448908432
160.0,6.623402783911749e-34,0.0018875073804493028
161.0,6.621733123714388e-34,0.08179401752571301
162.0,6.6194821041400305e-34,0.007961255146303225
163.0,6.616660865545101e-34,0.06457466169557617
164.0,6.613285448641875e-34,0.021339304641008805
165.0,6.609558091449095e-34,0.002957021292513477
166.0,6.605454336852156e-34,0.018811276023880483
167.0,6.6008737680251e-34,0.035019429219563886
168.0,6.595956016730294e-34,0.015374672243998242
169.0,6.590715571730193e-34,0.10194986076733155
170.0,6.584783975689953e-34,0.05059676249817498
171.0,6.577942145042815e-34,0.04113132409399607
172.0,6.570713004926075e-34,0.009821358464215267
173.0,6.562481585218718e-34,0.03388064591051215
174.0,6.552918577714487e-34,0.09683178775870126
175.0,6.542324861193223e-34,0.013512958342762189
176.0,6.530800254132624e-34,0.039719471595303174
177.0,6.5199981961987386e-34,0.025807683705045978
178.0,6.508812380271143e-34,0.04763769864372134
179.0,6.498301132365992e-34,0.007758225795357296
180.0,6.488698389477874e-34,0.01849180563171666
181.0,6.47900040562868e-34,0.025650623340033752
182.0,6.470114472390878e-34,0.08482282197883625
183.0,6.460912361474487e-34,0.020329038914708133
184.0,6.450034851443245e-34,0.06380186046602403
185.0,6.438765338403286e-34,0.0628384397403753
186.0,6.425707802250646e-34,0.0048341715686677205
187.0,6.411878058366722e-34,0.025381696931802575
188.0,6.396809806572702e-34,0.01894951029675905
189.0,6.382038507577692e-34,0.043576565008249114
190.0,6.3678809976071675e-34,0.07760827474460795
191.0,6.353883401845155e-34,0.112696908596473
192.0,6.339893394770925e-34,0.05364305665546844
193.0,6.325381183740738e-34,0.061874501003430005
194.0,6.310425734924037e-34,0.03064457190329302
195.0,6.2949430306868525e-34,0.059720352739756434
196.0,6.278810131563991e-34,0.09533578505558074
197.0,6.262342649642012e-34,0.08368844893240149
198.0,6.245986513634681e-34,0.05909174605868427
199.0,6.229907807265391e-34,0.019495776730315353
200.0,6.213626891472741e-34,0.02007269449908991
201.0,6.196583087049992e-34,0.02551990709953222
202.0,6.180203250628449e-34,0.00826087856648098
203.0,6.1635587897649096e-34,0.09504537398323083
204.0,6.146533276796811e-34,0.012635893450903475
205.0,6.129059230886437e-34,0.1018756239140875
206.0,6.11015379197977e-34,0.08167009471533998
207.0,6.090214002345667e-34,0.004954387066129454
208.0,6.069174536015668e-34,0.011070715676581605
209.0,6.0477699647101766e-34,0.062089636931885364
210.0,6.026455344681615e-34,0.07161355422672797
211.0,6.005222422957259e-34,0.04055404871048898
212.0,5.984874952767867e-34,0.031186781298202355
213.0,5.9654021896708905e-34,0.04300148728397277
214.0,5.946709795680333e-34,0.048109786334810285
215.0,5.928882311655909e-34,0.007349924739674838
216.0,5.911668178885326e-34,0.03975507054120785
217.0,5.894815061961066e-34,0.061759909852020324
218.0,5.87823566765266e-34,0.015944333272849463
219.0,5.861261918094702e-34,0.052204521017657636
220.0,5.844480740765207e-34,0.04823467811028008
221.0,5.8271657363191805e-34,0.021145517454056947
222.0,5.810291050102563e-34,0.024823613556961457
223.0,5.793467745492614e-34,0.00765665883928093
224.0,5.776917909281909e-34,0.13985769370483345
225.0,5.761007896514315e-34,0.01639322060350112
226.0,5.746022969257033e-34,0.02650322379482281
227.0,5.730741116112361e-34,0.056910717945986844
228.0,5.715600159384258e-34,0.06396981225136887
229.0,5.701198319744203e-34,0.012655580289924135
230.0,5.686113922544674e-34,0.04191551388747171
231.0,5.671243093183253e-34,0.10073852912346498
232.0,5.655004437210295e-34,0.03073795584859672
233.0,5.637600918001743e-34,0.01250686065518384
234.0,5.6194702059700735e-34,0.08399077977669292
235.0,5.599631606853723e-34,0.05839766587970217
236.0,5.578221775456928e-34,0.09552497491128717
237.0,5.554829314169144e-34,0.036675113296915605
238.0,5.53126013308138e-34,0.031214783252034414
239.0,5.507274482933672e-34,0.009986209429048896
240.0,5.4834799799697525e-34,0.03290430106428959
241.0,5.459772880992324e-34,0.1771901600180295
242.0,5.436173014444591e-34,0.11151131258650687
243.0,5.411832444318968e-34,0.01311994020600372
244.0,5.3871682289748354e-34,0.021318342267777873
245.0,5.361802678549821e-34,0.025811440486351003
246.0,5.336636509189153e-34,0.0455805975825142
247.0,5.312221088682227e-34,0.03768900466679506
248.0,5.28927427717505e-34,0.04073782158213848
249.0,5.267979573577029e-34,0.10137608588987282
250.0,5.247738885783303e-34,0.05234585242586818
251.0,5.228016344410785e-34,0.0022382413943923154
252.0,5.20959259352185e-34,0.020333358082972024
253.0,5.192280475108953e-34,0.07287147745583003
254.0,5.1747371245858135e-34,0.027557155992440897
255.0,5.157782813440508e-34,0.005322644492033367
256.0,5.141756852765476e-34,0.11043083326350792
257.0,5.126411745920609e-34,0.051344700515858877
258.0,5.111653002316357e-34,0.03288872338297749
259.0,5.097061619873142e-34,0.007763630659142927
260.0,5.081995566235824e-34,0.0032653880333878174
261.0,5.067474587507537e-34,0.041547942560682005
262.0,5.052997994368092e-34,0.013600571564586071
263.0,5.038585668904886e-34,0.021240619511958974
264.0,5.025502288832254e-34,0.02260631399539717
265.0,5.013625151866701e-34,0.091063498535632
266.0,5.0030248010234256e-34,0.013552746203915056
267.0,4.993672997293577e-34,0.13368901371877617
268.0,4.9864615894674005e-34,0.043138223822759496
269.0,4.981879715090671e-34,0.0207028840382769
270.0,4.9798349898798886e-34,0.036526746025814245
271.0,4.980262565108853e-34,0.055047887705247614
272.0,4.981402456913712e-34,0.00202936381039272
273.0,4.983805184860377e-34,0.08634085259785595
274.0,4.98700647930887e-34,0.04889014236771342
275.0,4.990880701941898e-34,0.016166170406493232
276.0,4.995884526308034e-34,0.05804326510207091
277.0,4.999870003079433e-34,0.0005316189201568986
278.0,5.003444085169911e-34,0.001069202002192365
279.0,5.006921057760045e-34,0.026686030076911862
280.0,5.009892496170644e-34,0.026518402209866718
281.0,5.011672653769217e-34,0.09048503730935946
282.0,5.013410790610935e-34,0.053320356115012624
283.0,5.015052849940331e-34,0.0010045790063187667
284.0,5.015988358776659e-34,0.0404612949850556
285.0,5.016866282565135e-34,0.03208901544538161
286.0,5.0181608694397794e-34,0.011235347002423662
287.0,5.019647539537791e-34,0.013637482526230541
288.0,5.021916485900266e-34,0.0008680182065514092
289.0,5.024774958668824e-34,0.053563439960959906
290.0,5.027948848553439e-34,0.011256294504127445
291.0,5.030770750487433e-34,0.0023569722637581964
292.0,5.03351275562583e-34,0.002219823082190518
293.0,5.03624644609974e-34,0.036509635039358605
294.0,5.039465554615708e-34,0.016638310998188844
295.0,5.042831675660302e-34,0.008349467800582043
296.0,5.046757920563036e-34,0.004502414672746074
297.0,5.050476488768724e-34,0.009395116687190633
298.0,5.053814596241436e-34,0.057568660660352704
299.0,5.056930262173107e-34,0.018081385740368213
300.0,5.059140514314065e-34,0.08291600740925757
301.0,5.061368749575421e-34,0.009487502102647333
302.0,5.063659039848291e-34,0.10254511582931952
303.0,5.0661203526819115e-34,0.0719568383893496
304.0,5.068961431514653e-34,0.017998494952620226
305.0,5.073418168490747e-34,0.03495451169357581
306.0,5.078484213279509e-34,0.06745517128096896
307.0,5.082904535669762e-34,0.05448965978746234
308.0,5.087507200076013e-34,0.10353038229530409
309.0,5.092040742394496e-34,0.03556002248349804
310.0,5.096119412732214e-34,0.0018753361814956371
311.0,5.099288720799742e-34,0.03201869770124902
312.0,5.101642294874054e-34,0.020298298645769465
313.0,5.10350795288347e-34,0.03235081955632015
314.0,5.104579759536543e-34,0.09251574807840104
315.0,5.106729846226166e-34,0.08424619407427558
316.0,5.1086000517525425e-34,0.0653292245895966
317.0,5.110162558353445e-34,0.053334577747901624
318.0,5.110239231020264e-34,0.04973219250131173
319.0,5.109768485862396e-34,0.03154865737069133
320.0,5.107288817774983e-34,0.0124069444448326
321.0,5.103216625968123e-34,0.030093819605153962
322.0,5.0976655315978095e-34,0.10637264981909123
323.0,5.0904741380640494e-34,0.02362918969987704
324.0,5.083277646566694e-34,0.06693548513287688
325.0,5.0763630155651515e-34,0.01810098701491641
326.0,5.070499214376682e-34,0.020696229861171866
327.0,5.064824524653973e-34,0.029003644801721514
328.0,5.060448367708264e-34,0.004711703544606374
329.0,5.057228763308591e-34,0.016049506695316858
330.0,5.055397535146936e-34,0.00444692581754448
331.0,5.055238187465967e-34,0.057061441209470945
332.0,5.0556772121497214e-34,0.11643152543384422
333.0,5.056647612741739e-34,0.1009011469815349
334.0,5.058712604872076e-34,0.036795528676511355
335.0,5.059719689744698e-34,0.021806451598849586
336.0,5.061546679459589e-34,0.019679954985951608
337.0,5.0639332181069255e-34,0.049626668698740384
338.0,5.0666836883079486e-34,0.025605331183495894
339.0,5.0699882706543625e-34,0.052769452510910635
340.0,5.073088890213229e-34,0.000884767053026633
341.0,5.076074492089488e-34,0.10905378040816693
342.0,5.079708945775309e-34,0.023112265067686304
343.0,5.084410010275821e-34,0.012702638223556814
344.0,5.091511305930552e-34,0.037983245850625645
345.0,5.100054469831736e-34,0.002906660838820937
346.0,5.109636066958234e-34,0.08973595770636116
347.0,5.120004860017147e-34,0.051352480276624105
348.0,5.130431838417128e-34,0.061606124333172085
349.0,5.140991759846056e-34,0.01844654417161719
350.0,5.151794062376901e-34,0.03119434529066897
351.0,5.162611399101722e-34,0.00863603190193374
352.0,5.174185610449544e-34,0.14423732774295536
353.0,5.18599030129255e-34,0.013102653001292092
354.0,5.197908328285064e-34,0.04744827008125704
355.0,5.20965453565655e-34,0.018913181191977615
356.0,5.220323136865755e-34,0.012633995449404198
357.0,5.229429007446324e-34,0.05470039818758966
358.0,5.236731580837864e-34,0.052001853460194564
359.0,5.243512499152681e-34,0.022695514729889572
360.0,5.249992230551515e-34,0.07452136277744197
361.0,5.256953123166916e-34,0.017636126064821036
362.0,5.2632466775333965e-34,0.06313086143590169
363.0,5.2682119376121845e-34,0.04335285817157494
364.0,5.272124762448899e-34,0.016668324291149946
365.0,5.2752894743565005e-34,0.01865014797508097
366.0,5.277995488568843e-34,0.010129523313976384
367.0,5.280862560360579e-34,0.01663123240781821
368.0,5.283855415187202e-34,0.06485823458376035
369.0,5.2881352866293655e-34,0.04827997455061736
370.0,5.292979008167967e-34,0.006895147138224519
371.0,5.297879920877519e-34,0.035514324023971665
372.0,5.301990530925786e-34,0.04459405206458125
373.0,5.305225810157362e-34,0.04985273725485312
374.0,5.307975567262168e-34,0.07115402575064579
375.0,5.309580364856941e-34,0.04081059337834303
376.0,5.311048102155833e-34,0.038881079083329086
377.0,5.313057158298721e-34,0.009845714739403792
378.0,5.313687580122613e-34,0.06587037354624237
379.0,5.314457955462926e-34,0.029220550481396004
380.0,5.31362000240036e-34,0.1233672224535801
381.0,5.3122826375089335e-34,0.025835086584596073
382.0,5.311130478917099e-34,0.034030688100921185
383.0,5.309875975345451e-34,0.05741775022498124
384.0,5.3078109426270146e-34,0.05200946884296401
385.0,5.305097189568397e-34,0.08728125879060256
386.0,5.301773313433861e-34,0.08423430688966356
387.0,5.297831832851396e-34,0.0531109168227247
388.0,5.293260958272412e-34,0.0037777529422797296
389.0,5.288178592874171e-34,0.030256724571000572
390.0,5.282899616551561e-34,0.07299919916664932
391.0,5.276694774809854e-34,0.09118113998716376
392.0,5.2699408996296526e-34,0.004605981609104605
393.0,5.263760563544788e-34,0.016787666812560827
394.0,5.257418688247554e-34,0.029670099281783352
395.0,5.2508637838303e-34,0.018653032529852658
396.0,5.245009148679541e-34,0.004114285542455776
397.0,5.237840060580568e-34,0.033262662306527205
398.0,5.231079077112766e-34,0.04736525032589685
399.0,5.2238761961494875e-34,0.005382016968847748
400.0,5.216628400098055e-34,0.005913335245417648
401.0,5.2094046971830925e-34,0.08234731999913347
402.0,5.202856299616853e-34,0.05449588074155516
403.0,5.196531691573274e-34,0.03578436921220631
404.0,5.1901357819570185e-34,0.029307960252580097
405.0,5.184740980614865e-34,0.04025137922959304
406.0,5.178329742007595e-34,0.08997160574566522
407.0,5.171775673098861e-34,0.02929358950549002
408.0,5.164164207147682e-34,0.05976651349262783
409.0,5.155514352486993e-34,0.042960637841134686
410.0,5.147454929762196e-34,0.02704557810137749
411.0,5.139349436300027e-34,0.029308717339744862
412.0,5.131530411383138e-34,0.046061948312213295
413.0,5.122897067100949e-34,0.029403285498515654
414.0,5.113672667372035e-34,0.07231741503809559
415.0,5.10422963884449e-34,0.009079589743454988
416.0,5.094743721601827e-34,0.024558166975060435
417.0,5.085573645893803e-34,0.026863127413443117
418.0,5.076622530886016e-34,0.0372501653122368
419.0,5.068329888188297e-34,0.03992449347486757
420.0,5.0608501166214285e-34,0.05338831971749441
421.0,5.052847023689015e-34,0.04140520111625941
422.0,5.044978641758784e-34,0.09594836171278373
423.0,5.037672571633849e-34,0.08502559603593014
424.0,5.031045616778406e-34,0.006117179844803929
425.0,5.02470731820095e-34,0.041604966404040655
426.0,5.018312688138221e-34,0.013703071434030576
427.0,5.011399760443841e-34,0.03500624349904777
428.0,5.004236897108453e-34,0.008444819795039324
429.0,4.9975796320280875e-34,0.026950842456286973
430.0,4.989818239316106e-34,0.03907332519989221
431.0,4.981341185553145e-34,0.030151812468294372
432.0,4.971700599851805e-34,0.12110680305808189
433.0,4.961889702998019e-34,0.06077707681153424
434.0,4.951360921705392e-34,0.007517114394306868
435.0,4.940171061939021e-34,0.05983527924793606
436.0,4.928493045498043e-34,0.07234248214580428
437.0,4.916825998114864e-34,0.02187671549990504
438.0,4.904871341388842e-34,0.08296773059673561
439.0,4.890908606720664e-34,0.014963788571173682
440.0,4.8764556028655865e-34,0.06840090707651977
441.0,4.861638671933159e-34,0.013529661973377566
442.0,4.8463134545449235e-34,0.0432437347550893
443.0,4.830056510051059e-34,0.08261892485611837
444.0,4.8136590914492035e-34,0.031881020079333904
445.0,4.797362516524529e-34,0.023226526770703804
446.0,4.7808440131390645e-34,0.09012465288545404
447.0,4.764250754754131e-34,0.08890018741655242
448.0,4.747149345650582e-34,0.03396852467025252
449.0,4.729827779048794e-34,0.01751232447501255
450.0,4.711401590857757e-34,0.017260108887049333
451.0,4.692768104218448e-34,0.0361843322879481
452.0,4.673247424480738e-34,0.004066894994638436
453.0,4.653473664036474e-34,0.020516974782862057
454.0,4.632598851407619e-34,0.06394682408361624
455.0,4.610908686986482e-34,0.04171477697321153
