time,flux [mJy],error
0.0,8.956369844846442e-34,0.0004782838695461686
1.0,8.970140224937355e-34,0.020077232503689535
2.0,8.983306545333095e-34,0.024763788595978893
3.0,8.995681866243079e-34,0.09847788346721516
4.0,9.007417709586234e-34,0.0495233014331605
5.0,9.01818341740085e-34,0.00021737837154830447
6.0,9.028702932053116e-34,0.019164796038577948
7.0,9.03816841203644e-34,0.07962021954843346
8.0,9.046369352372306e-34,0.0080935987469101
9.0,9.053428760647233e-34,0.05619114679358725
10.0,9.059232131880422e-34,0.01728450224278985
11.0,9.064898588584982e-34,0.03794763500647921
12.0,9.07044128193537e-34,0.012790338669314526
13.0,9.075765061571743e-34,0.005515341284766471
14.0,9.080327395650694e-34,0.016740385064533465
15.0,9.084889693846242e-34,0.01082912512125744
16.0,9.088693018721359e-34,0.08579100401247786
17.0,9.091224073576441e-34,0.11185312920151357
18.0,9.093455572955817e-34,0.036133991488392116
19.0,9.095213621736615e-34,0.007230478031165018
20.0,9.096929303904762e-34,0.017758655340488587
21.0,9.098578908649896e-34,0.03957378477780274
22.0,9.100547738238139e-34,0.051989337174646016
23.0,9.102293998597348e-34,0.018507293792861486
24.0,9.103467793414698e-34,0.07664313158698105
25.0,9.104634790825043e-34,0.008559037318699782
26.0,9.105163109161346e-34,0.004502067909960448
27.0,9.10491449225821e-34,0.007666247773167491
28.0,9.103832983780905e-34,0.03635376823012395
29.0,9.102051464588895e-34,0.00856325158073105
30.0,9.099420836978262e-34,0.0621553094664139
31.0,9.095428219379193e-34,0.01379606221851543
32.0,9.090209998990138e-34,0.07375969944496723
33.0,9.082925044275389e-34,0.008818154923724819
34.0,9.074585490657432e-34,0.18180508501267523
35.0,9.064344970302987e-34,0.07621492807301689
36.0,9.052268975687738e-34,0.0013988184651635767
37.0,9.038839537053029e-34,0.048019500641717935
38.0,9.02384801086805e-34,0.058998615779724484
39.0,9.008449301592313e-34,0.013634974327770872
40.0,8.9917864811663e-34,0.011654435241810762
41.0,8.974549449946874e-34,0.034133769131364254
42.0,8.956789357884062e-34,0.052356067593564364
43.0,8.938066546652301e-34,0.05994582764073503
44.0,8.919048960040558e-34,0.020233060217827586
45.0,8.89957156556603e-34,0.03732737837595377
46.0,8.880138073042623e-34,0.04178302522288102
47.0,8.861019055654756e-34,0.053218646778620496
48.0,8.843137089847433e-34,0.017115651923952233
49.0,8.826629441519127e-34,0.06776296801762252
50.0,8.810994736249246e-34,0.002689288866626678
51.0,8.79617534700613e-34,0.07767211453981185
52.0,8.782652095258994e-34,0.029779890398319322
53.0,8.770303882506244e-34,0.057166405040663996
54.0,8.759149403056732e-34,0.011329341180481418
55.0,8.748114216724865e-34,0.010274236550388166
56.0,8.737502247085367e-34,0.07244036091813733
57.0,8.726812760106337e-34,0.047140299268318045
58.0,8.716292649225798e-34,0.012482313913477101
59.0,8.705776005608123e-34,0.026666030438005268
60.0,8.695761240364746e-34,0.04598640566832356
61.0,8.686195052313033e-34,0.000836600811933975
62.0,8.677424517210703e-34,0.026544880724747796
63.0,8.669005018099217e-34,0.019907592308384906
64.0,8.660560415152082e-34,0.009840783702623035
65.0,8.65205630408899e-34,0.06282617784849304
66.0,8.643507061430861e-34,0.007500080441054094
67.0,8.635065444347565e-34,0.08759313838378924
68.0,8.627751282344415e-34,0.028554906057713804
69.0,8.620980504406722e-34,0.03803777809330223
70.0,8.614346362573583e-34,0.028200668940210852
71.0,8.607909522653641e-34,0.10507647485883086
72.0,8.601450416933743e-34,0.01169530489434427
73.0,8.595247256111589e-34,0.017803098287142542
74.0,8.588361542873167e-34,0.010669057652033291
75.0,8.58122689372162e-34,0.08232328131998415
76.0,8.573894787673153e-34,0.04391342156642996
77.0,8.566464117561236e-34,0.034756765760654056
78.0,8.558633806719421e-34,0.04465140255515446
79.0,8.55050837730838e-34,0.025867937298502394
80.0,8.541492513560618e-34,0.05350237338556096
