time,flux [mJy],error
0.0,6.378607161298033e-34,0.0004782838695461686
1.0,6.381335305260601e-34,0.020077232503689535
2.0,6.3839437748351325e-34,0.024763788595978893
3.0,6.386395534104123e-34,0.09847788346721516
4.0,6.388720602108848e-34,0.0495233014331605
5.0,6.390853469944254e-34,0.00021737837154830447
6.0,6.3929375627723575e-34,0.019164796038577948
7.0,6.394812833599948e-34,0.07962021954843346
8.0,6.3964375778493416e-34,0.0080935987469101
9.0,6.397836165392851e-34,0.05619114679358725
10.0,6.398985910867402e-34,0.01728450224278985
11.0,6.4001085312704446e-34,0.03794763500647921
12.0,6.401206632070887e-34,0.012790338669314526
13.0,6.402261362381679e-34,0.005515341284766471
14.0,6.403165237517336e-34,0.016740385064533465
15.0,6.404069105543886e-34,0.01082912512125744
16.0,6.40482260818704e-34,0.08579100401247786
17.0,6.405324052735138e-34,0.11185312920151357
18.0,6.405766150303914e-34,0.036133991488392116
19.0,6.406114449343996e-34,0.007230478031165018
20.0,6.406454354845356e-34,0.017758655340488587
21.0,6.406781169297561e-34,0.03957378477780274
22.0,6.407171227561677e-34,0.051989337174646016
23.0,6.407517191117121e-34,0.018507293792861486
24.0,6.407749739617823e-34,0.07664313158698105
25.0,6.407980941437842e-34,0.008559037318699782
26.0,6.408085610188449e-34,0.004502067909960448
27.0,6.4080363549973205e-34,0.007666247773167491
28.0,6.407822089973164e-34,0.03635376823012395
29.0,6.4074691410497645e-34,0.00856325158073105
30.0,6.406947969463626e-34,0.0621553094664139
31.0,6.406156964747284e-34,0.01379606221851543
32.0,6.405123147499265e-34,0.07375969944496723
33.0,6.403679875411536e-34,0.008818154923724819
34.0,6.402027669538994e-34,0.18180508501267523
35.0,6.399998850174961e-34,0.07621492807301689
36.0,6.397606392480685e-34,0.0013988184651635767
37.0,6.394945794756434e-34,0.048019500641717935
38.0,6.391975721208629e-34,0.058998615779724484
39.0,6.388924977840283e-34,0.013634974327770872
40.0,6.385623792786242e-34,0.011654435241810762
41.0,6.382208846913766e-34,0.034133769131364254
42.0,6.37869027388848e-34,0.052356067593564364
43.0,6.374980969999479e-34,0.05994582764073503
44.0,6.3712132661485385e-34,0.020233060217827586
45.0,6.367354466624383e-34,0.03732737837595377
46.0,6.363504364815331e-34,0.04178302522288102
47.0,6.359716565821216e-34,0.053218646778620496
48.0,6.356173847556794e-34,0.017115651923952233
49.0,6.3529034047058525e-34,0.06776296801762252
50.0,6.349805906560779e-34,0.002689288866626678
51.0,6.346869936237109e-34,0.07767211453981185
52.0,6.344190752557017e-34,0.029779890398319322
53.0,6.34174436387003e-34,0.057166405040663996
54.0,6.339534473833235e-34,0.011329341180481418
55.0,6.337348217769979e-34,0.010274236550388166
56.0,6.335245808053484e-34,0.07244036091813733
57.0,6.3331280408479125e-34,0.047140299268318045
58.0,6.331043829896957e-34,0.012482313913477101
59.0,6.328960305869107e-34,0.026666030438005268
60.0,6.326976212390577e-34,0.04598640566832356
61.0,6.325080989600372e-34,0.000836600811933975
62.0,6.323343399045141e-34,0.026544880724747796
63.0,6.321675354625364e-34,0.019907592308384906
64.0,6.32000233671341e-34,0.009840783702623035
65.0,6.318317529242547e-34,0.06282617784849304
66.0,6.316623780443435e-34,0.007500080441054094
67.0,6.314951354081339e-34,0.08759313838378924
68.0,6.313502295538409e-34,0.028554906057713804
69.0,6.312160890520489e-34,0.03803777809330223
70.0,6.310846555413585e-34,0.028200668940210852
71.0,6.309571309135002e-34,0.10507647485883086
72.0,6.308291651626858e-34,0.01169530489434427
73.0,6.307062701108857e-34,0.017803098287142542
74.0,6.305698525474244e-34,0.010669057652033291
75.0,6.304285031447258e-34,0.08232328131998415
76.0,6.302832417887067e-34,0.04391342156642996
77.0,6.301360277127711e-34,0.034756765760654056
78.0,6.299808960816389e-34,0.04465140255515446
79.0,6.298199176551564e-34,0.025867937298502394
80.0,6.296412982264376e-34,0.05350237338556096
81.0,6.294486926827863e-34,0.030735209904031488
82.0,6.2924005338394585e-34,0.12767392537891442
83.0,6.290235033328001e-34,0.022971040336355327
84.0,6.287871655913867e-34,0.14625949919436518
85.0,6.285468846576621e-34,0.034220440560585666
86.0,6.283147532757152e-34,0.0050532739316090656
87.0,6.2806476986715995e-34,0.04812079417485065
88.0,6.278140925081593e-34,0.050704321962451865
89.0,6.2756753910014245e-34,0.00378693585585471
90.0,6.273160071026888e-34,0.05791910787680831
91.0,6.270600424573412e-34,0.02692356298809469
92.0,6.26800897932887e-34,0.04740244943392166
93.0,6.265366623574762e-34,0.04847058811818683
94.0,6.262662705799574e-34,0.0683455663721438
95.0,6.259755755686952e-34,0.06353913822626701
96.0,6.2568565200984644e-34,0.03797938638184968
97.0,6.25401813682795e-34,0.04597046725707784
98.0,6.251124429161028e-34,0.049085969222363704
99.0,6.248097649835144e-34,0.039617972375633
100.0,6.245075475521998e-34,0.04757842124655891
101.0,6.241974351743411e-34,0.00951727116080532
102.0,6.238845827146849e-34,0.0329480555109216
103.0,6.235659291571452e-34,0.01422037369821639
104.0,6.232511924633909e-34,0.004332312063678798
105.0,6.229446797521682e-34,0.07360341686601134
106.0,6.226369665113197e-34,0.005780752906718029
107.0,6.223195169364697e-34,0.15896965832722912
108.0,6.219844446430906e-34,0.07715607517948707
109.0,6.216458817029962e-34,0.03133711157100213
110.0,6.212894202527641e-34,0.027040839881290163
111.0,6.209182888653601e-34,0.07036872759360863
112.0,6.205313549597089e-34,0.00010186457907353131
113.0,6.2013355008225215e-34,0.04802572362250254
114.0,6.197087379735352e-34,0.0032677775890675026
115.0,6.192717956653699e-34,0.0003625224084240714
116.0,6.18829233116168e-34,0.010240030290392372
117.0,6.183822557722496e-34,0.04379254078145893
118.0,6.179306486952538e-34,0.0339745047363571
119.0,6.174795945794906e-34,0.02640085901603433
120.0,6.170340776673331e-34,0.014822471024569479
121.0,6.165661134001224e-34,0.034027407519745534
122.0,6.161103711296723e-34,0.03897572856602105
123.0,6.156603967743726e-34,0.09555235611169198
124.0,6.15209563396917e-34,0.06904619162602771
125.0,6.147593335162716e-34,0.0024498786217231434
126.0,6.143175589538783e-34,0.0700384942198226
127.0,6.1388102642083175e-34,0.02041964718613757
128.0,6.134313225882836e-34,0.011303870581595564
129.0,6.129999136359339e-34,0.03248706516455759
130.0,6.1257483817847244e-34,0.0546664169226718
131.0,6.1216798538743e-34,0.011556452184470989
132.0,6.117680589400007e-34,0.05689406197630936
133.0,6.113942677061935e-34,0.03995148438260246
134.0,6.110406835684991e-34,0.0390251068022025
135.0,6.10711308509204e-34,0.10797032691723618
136.0,6.103917606676979e-34,0.004362948471763987
137.0,6.100981348233951e-34,0.01533953720127693
138.0,6.098285898381309e-34,0.029343481332401666
139.0,6.095908229913473e-34,0.02325995408382393
140.0,6.093704027268311e-34,0.0013890324985246657
141.0,6.091646063572905e-34,0.017978473352026066
142.0,6.089959684041101e-34,0.08916761435043646
143.0,6.088395759859637e-34,0.04617593942577547
144.0,6.086983997746714e-34,0.00652560376060379
145.0,6.085821898773319e-34,0.06210603250295082
146.0,6.084838555727073e-34,0.03801094993373408
147.0,6.08407198126806e-34,0.06976897218768548
148.0,6.083436261301454e-34,0.01524864580320669
149.0,6.082971049701797e-34,0.027787835816800995
150.0,6.082509473003761e-34,0.0530043913827301
151.0,6.082264377840532e-34,0.07717184464661725
152.0,6.08211982524257e-34,0.02424334611349862
153.0,6.082011139650898e-34,0.03381150777810773
154.0,6.082031805559653e-34,0.019878972570697012
155.0,6.0820899080391066e-34,0.0719786195667567
156.0,6.082070671907589e-34,0.03405835367240014
157.0,6.081904635960874e-34,0.07539428883788557
158.0,6.081721345336716e-34,0.013136666608263514
159.0,6.081467490750277e-34,0.02180827079410031
160.0,6.081150994565789e-34,4.455974906806374e-05
