taus,psis
0.0,1.6415063045926074e-20
0.1,2.3814350042057104e-20
0.2,3.143142321899649e-20
0.30000000000000004,3.8338177105922693e-20
0.4,4.3950336823112946e-20
0.5,4.8041699485080866e-20
0.6000000000000001,5.071881049719698e-20
0.7000000000000001,5.2239341734269507e-20
0.8,5.292277355250715e-20
0.9,5.30304110661975e-20
1.0,5.28357877979757e-20
1.1,5.248423910907032e-20
1.2000000000000002,5.1884042248578684e-20
1.3,5.111729309045061e-20
1.4000000000000001,5.008466983922832e-20
1.5,4.8855054120258077e-20
1.6,4.749784391365434e-20
1.7000000000000002,4.6073005830685634e-20
1.8,4.4622103724352265e-20
1.9000000000000001,4.316717838478749e-20
2.0,4.170361603127714e-20
2.1,4.0198775536054267e-20
2.2,3.86684985706089e-20
2.3000000000000003,3.709580932463633e-20
2.4000000000000004,3.5526023355844007e-20
2.5,3.396445462448443e-20
2.6,3.245523446538772e-20
2.7,3.100960448166986e-20
2.8000000000000003,2.962476344789344e-20
2.9000000000000004,2.830020164786683e-20
3.0,2.7014142804297066e-20
3.1,2.575694507739323e-20
3.2,2.452324589086748e-20
3.3000000000000003,2.3323014331408935e-20
3.4000000000000004,2.2156252669084892e-20
3.5,2.1040815918254046e-20
3.6,1.9971570386193834e-20
3.7,1.8953023093349212e-20
3.8000000000000003,1.7981918137915354e-20
3.9000000000000004,1.705192147678308e-20
4.0,1.616273314151459e-20
4.1000000000000005,1.530448929894607e-20
4.2,1.4482039552252426e-20
4.3,1.3695917128392308e-20
4.4,1.294596835177344e-20
4.5,1.2240933930966104e-20
4.6000000000000005,1.1578628101266867e-20
4.7,1.0964319259017973e-20
4.800000000000001,1.0381030963461441e-20
4.9,9.827097938371666e-21
5.0,9.293535766196098e-21
5.1000000000000005,8.779367285316939e-21
5.2,8.283868140031303e-21
5.300000000000001,7.811234861328493e-21
5.4,7.367781971629638e-21
5.5,6.95184101016194e-21
5.6000000000000005,6.56346647373699e-21
5.7,6.1919707266662586e-21
5.800000000000001,5.8387062566481334e-21
5.9,5.50157478241468e-21
6.0,5.183986273891793e-21
6.1000000000000005,4.887063667234856e-21
6.2,4.611436602054702e-21
6.300000000000001,4.35527348435215e-21
