taus,psis
0.0,6.912383228817055e-21
0.1,1.0090255776872214e-20
0.2,1.3411448586335774e-20
0.30000000000000004,1.6485347076827552e-20
0.4,1.9048550488681252e-20
0.5,2.1023945565226498e-20
0.6000000000000001,2.2484901764285905e-20
0.7000000000000001,2.355487877512043e-20
0.8,2.4362539274512463e-20
0.9,2.496310429826957e-20
1.0,2.5421569273381883e-20
1.1,2.576139778079518e-20
1.2000000000000002,2.600728565574618e-20
1.3,2.618518930275928e-20
1.4000000000000001,2.6313208483558664e-20
1.5,2.6371631218047008e-20
1.6,2.6351682783712862e-20
1.7000000000000002,2.6233509615521155e-20
1.8,2.6036749082682288e-20
1.9000000000000001,2.5797574676545462e-20
2.0,2.554246022927868e-20
2.1,2.5293322194435778e-20
2.2,2.5040616228991613e-20
2.3000000000000003,2.4777675974470385e-20
2.4000000000000004,2.4500376210088667e-20
2.5,2.4196283953777865e-20
2.6,2.385337023018634e-20
2.7,2.346626264848339e-20
2.8000000000000003,2.305455718783292e-20
2.9000000000000004,2.262818663030921e-20
3.0,2.221624206390678e-20
3.1,2.1821072079819888e-20
3.2,2.1445937189056906e-20
3.3000000000000003,2.1073645778584503e-20
3.4000000000000004,2.0683486732389246e-20
3.5,2.0275120936813522e-20
3.6,1.9836779100366315e-20
3.7,1.9387447950657895e-20
3.8000000000000003,1.893087185713184e-20
3.9000000000000004,1.848068199107975e-20
4.0,1.8041618995708665e-20
4.1000000000000005,1.761739760324836e-20
4.2,1.7209691607853793e-20
4.3,1.681870932389573e-20
4.4,1.6432156129314288e-20
4.5,1.604219128452058e-20
4.6000000000000005,1.5649622728643456e-20
4.7,1.5260447918520347e-20
4.800000000000001,1.4880980763831088e-20
4.9,1.4510824987446674e-20
5.0,1.4146776638717407e-20
5.1000000000000005,1.3782821784420407e-20
5.2,1.3418786274031752e-20
5.300000000000001,1.3053826818188993e-20
5.4,1.2693969937232345e-20
5.5,1.2341354074433465e-20
5.6000000000000005,1.1997766173145192e-20
5.7,1.1662377225835854e-20
5.800000000000001,1.1335363881829965e-20
5.9,1.1014410940181692e-20
6.0,1.0706200231648439e-20
6.1000000000000005,1.0410750606355991e-20
6.2,1.0122721832418926e-20
6.300000000000001,9.842455822533348e-21
6.4,9.561414087171538e-21
6.5,9.28321454279523e-21
6.6000000000000005,9.010512921857675e-21
6.7,8.746217714998976e-21
6.800000000000001,8.49247353333023e-21
6.9,8.248177941660537e-21
7.0,8.011208417809414e-21
7.1000000000000005,7.778522337339982e-21
7.2,7.548253293026965e-21
7.300000000000001,7.321479462238776e-21
7.4,7.100576102557994e-21
7.5,6.885565211014907e-21
7.6000000000000005,6.6758454238878485e-21
7.7,6.4712103447360536e-21
7.800000000000001,6.2722240237256046e-21
7.9,6.080174565100154e-21
8.0,5.892989220507095e-21
8.1,5.711137345732254e-21
8.200000000000001,5.534144737061342e-21
8.3,5.363499373095983e-21
8.4,5.198764789481044e-21
8.5,5.040656756606548e-21
8.6,4.8874108482803145e-21
8.700000000000001,4.7373739692295165e-21
8.8,4.591242738989077e-21
8.9,4.447507645632832e-21
9.0,4.307674604219261e-21
9.1,4.1707850007067054e-21
9.200000000000001,4.038390986617156e-21
9.3,3.910543174946744e-21
9.4,3.788502874250851e-21
9.5,3.671852083867913e-21
9.600000000000001,3.557779787859368e-21
9.700000000000001,3.44567828260927e-21
9.8,3.3345459513292992e-21
9.9,3.2263426814947182e-21
10.0,3.121646200353541e-21
10.100000000000001,3.020252713082012e-21
10.200000000000001,2.921809121711493e-21
10.3,2.8263902533448898e-21
10.4,2.734874343073977e-21
10.5,2.6473176086747235e-21
10.600000000000001,2.564473229057392e-21
10.700000000000001,2.4848929870950958e-21
10.8,2.4071079918277686e-21
10.9,2.3304366066728942e-21
11.0,2.2546967123141518e-21
11.100000000000001,2.1806350306555227e-21
11.200000000000001,2.1088537776325386e-21
11.3,2.0397012989219815e-21
11.4,1.9729870243049754e-21
11.5,1.908431656814071e-21
11.600000000000001,1.8466100667853896e-21
11.700000000000001,1.787057277646681e-21
11.8,1.7296650316038152e-21
11.9,1.6742403020727364e-21
12.0,1.6205595332566796e-21
12.100000000000001,1.568152582598971e-21
12.200000000000001,1.517197603089669e-21
12.3,1.4676667412102548e-21
12.4,1.4193024370336625e-21
12.5,1.3723948983938321e-21
12.600000000000001,1.327091948762622e-21
12.700000000000001,1.2835127008923123e-21
12.8,1.2419076271714816e-21
12.9,1.2019908666079701e-21
13.0,1.163357559633148e-21
13.100000000000001,1.1256776636571569e-21
13.200000000000001,1.089211713635502e-21
13.3,1.0535234963786733e-21
13.4,1.0188756010289818e-21
13.5,9.852575283496164e-22
13.600000000000001,9.527371782939278e-22
13.700000000000001,9.21285024138432e-22
13.8,8.9077755564341e-22
13.9,8.613764859630373e-22
14.0,8.329182179852297e-22
14.100000000000001,8.054846643625282e-22
14.200000000000001,7.790468962958461e-22
14.3,7.536428842620482e-22
14.4,7.292767093362195e-22
14.5,7.057105060804683e-22
14.600000000000001,6.828479236483532e-22
14.700000000000001,6.605320238707468e-22
14.8,6.389261533492386e-22
14.9,6.179116339870407e-22
15.0,5.975951771603477e-22
15.100000000000001,5.7792151979284e-22
15.200000000000001,5.588780355268849e-22
15.3,5.405031288664168e-22
15.4,5.227571058445622e-22
15.5,5.056499258478304e-22
15.600000000000001,4.891629982184834e-22
15.700000000000001,4.732407667767769e-22
15.8,4.577199935610733e-22
15.9,4.426260707189327e-22
16.0,4.278606804037352e-22
16.1,4.135563471769233e-22
16.2,3.997522417281343e-22
16.3,3.864370909127909e-22
16.400000000000002,3.737852637143553e-22
16.5,3.616464972218744e-22
16.6,3.499883583936038e-22
16.7,3.386999282894741e-22
16.8,3.277181895623505e-22
16.900000000000002,3.170069042915516e-22
17.0,3.0659042897486244e-22
17.1,2.964737493858799e-22
17.2,2.867259813236736e-22
17.3,2.7733460560235824e-22
17.400000000000002,2.6829691355582023e-22
17.5,2.595221519329867e-22
17.6,2.5097935940214874e-22
17.7,2.4266082687248354e-22
17.8,2.3463980915962365e-22
17.900000000000002,2.2692175983086268e-22
18.0,2.1952457174615917e-22
18.1,2.1238662746924427e-22
18.2,2.0545606427539442e-22
18.3,1.9872758054651652e-22
18.400000000000002,1.922209588480832e-22
18.5,1.8595661363488437e-22
18.6,1.7992454418010021e-22
18.7,1.7405566672996979e-22
18.8,1.683157940213367e-22
18.900000000000002,1.627147623476508e-22
19.0,1.5729075517168874e-22
19.1,1.5211234457292853e-22
19.200000000000003,1.4719885129261022e-22
19.3,1.4250614839529977e-22
19.400000000000002,1.3795925162591217e-22
19.5,1.335005271717327e-22
19.6,1.291322736701425e-22
19.700000000000003,1.2487736111702607e-22
19.8,1.207393642158745e-22
19.900000000000002,1.1674405492423623e-22
20.0,1.1287195037003889e-22
20.1,1.0915207867184075e-22
20.200000000000003,1.0559941706618123e-22
20.3,1.0219285095278165e-22
20.400000000000002,9.890320889495349e-23
20.5,9.572045348248317e-23
20.6,9.263020980649385e-23
20.700000000000003,8.962111240518184e-23
20.8,8.668686143339407e-23
20.900000000000002,8.381687146497867e-23
21.0,8.10309673561109e-23
21.1,7.836339835047799e-23
21.200000000000003,7.582492312443074e-23
21.3,7.340012691452409e-23
21.400000000000002,7.10637648396614e-23
21.5,6.878265980127522e-23
21.6,6.654566939687178e-23
21.700000000000003,6.436736303293043e-23
21.8,6.22622369067908e-23
21.900000000000002,6.023527915252756e-23
22.0,5.828207929156921e-23
22.1,5.63975392145777e-23
22.200000000000003,5.457457936357192e-23
22.3,5.2813401028261405e-23
22.400000000000002,5.110034730424165e-23
22.5,4.94437141795748e-23
22.6,4.783562856247206e-23
22.700000000000003,4.6272781758324113e-23
22.8,4.475874955000761e-23
22.900000000000002,4.3298182534660924e-23
23.0,4.189740989746323e-23
23.1,4.055243415840069e-23
23.200000000000003,3.9264373493263557e-23
23.3,3.801784829953121e-23
23.400000000000002,3.6803577164758864e-23
23.5,3.5615399382822085e-23
23.6,3.4455243291418313e-23
23.700000000000003,3.332882938277013e-23
23.8,3.224209974422214e-23
23.900000000000002,3.1193066275013597e-23
24.0,3.018201855601397e-23
24.1,2.920505777710209e-23
24.200000000000003,2.8267900167248906e-23
24.3,2.736531756134765e-23
24.400000000000002,2.6497371298292776e-23
24.5,2.5655361718618706e-23
24.6,2.4834941752306688e-23
24.700000000000003,2.4033771690274063e-23
24.8,2.325204103895843e-23
24.900000000000002,2.2497464421162082e-23
25.0,2.1770298968213346e-23
25.1,2.1072901065585664e-23
25.200000000000003,2.040278689899202e-23
25.3,1.975128903253307e-23
25.400000000000002,1.912039035451149e-23
25.5,1.8505369270440287e-23
25.6,1.7912959079460947e-23
25.700000000000003,1.733690979752275e-23
25.8,1.6779602245349037e-23
25.900000000000002,1.623925611508936e-23
26.0,1.5716706681337922e-23
26.1,1.5211441222822686e-23
26.200000000000003,1.4725944863368077e-23
26.3,1.4259185872716432e-23
26.400000000000002,1.380918030907467e-23
26.5,1.337305897254652e-23
26.6,1.2948170996583828e-23
26.700000000000003,1.2532661373210204e-23
26.8,1.2126990592197002e-23
26.900000000000002,1.1733593244757193e-23
27.0,1.1355992759420582e-23
27.1,1.0991941971551825e-23
27.200000000000003,1.064299337656083e-23
27.3,1.030503824559388e-23
27.400000000000002,9.977994715153072e-24
27.5,9.660486350358166e-24
27.6,9.352907127962292e-24
27.700000000000003,9.05546072955881e-24
27.8,8.76788149535779e-24
27.900000000000002,8.490629591437474e-24
28.0,8.223158673843075e-24
28.1,7.963024810184765e-24
28.200000000000003,7.709617146563303e-24
28.3,7.465173955238505e-24
28.400000000000002,7.228518931565222e-24
28.5,6.99977843887765e-24
28.6,6.778609844189206e-24
28.700000000000003,6.562420000865723e-24
28.8,6.352340879353384e-24
28.900000000000002,6.1473708533032064e-24
29.0,5.9323819384186655e-24
29.1,5.693091629046063e-24
29.200000000000003,5.3946525805288664e-24
29.3,4.989626606680407e-24
29.400000000000002,4.43399152826251e-24
29.5,3.716969272336641e-24
29.6,2.8852808809376765e-24
29.700000000000003,2.038501188061713e-24
29.8,1.2917664346250963e-24
29.900000000000002,7.252628930350671e-25
