time,flux [mJy],error
0.0,4.083276460118895e-27,0.023158154484867036
1.0,4.109435603708325e-27,0.027266369162544952
2.0,4.154817240232236e-27,0.06108185053411291
3.0,4.21942136969063e-27,0.06305083351228039
4.0,4.271917580484213e-27,0.018616539500078286
5.0,4.280520096921104e-27,0.03528381902563827
6.0,4.245228919001303e-27,0.027496365438819066
7.0,4.269410591427149e-27,0.07037864059684204
8.0,4.276578156403719e-27,0.012356434549095172
9.0,4.266731613931011e-27,0.009983048878269535
10.0,4.258461715203471e-27,0.03207122743789502
11.0,4.258113469412651e-27,0.10411492358888857
12.0,4.265686876558552e-27,0.052863902455220324
13.0,4.265007780883884e-27,0.012154884237443563
14.0,4.2844249844249206e-27,0.04838578647500344
15.0,4.323938487181661e-27,0.013942041941436832
16.0,4.341787833858811e-27,0.0028897054848267866
17.0,4.349741500857258e-27,0.033733666186333576
18.0,4.347799488177002e-27,0.0384391397958785
19.0,4.3557589814959136e-27,0.008550092076820509
20.0,4.361988187659775e-27,0.011541246602574317
21.0,4.366487106668588e-27,0.07004453948706306
22.0,4.406530683119884e-27,0.07827713091507368
23.0,4.420312091400659e-27,0.11449682418812457
24.0,4.407831331510912e-27,0.05987923483565234
25.0,4.411371945723248e-27,0.038286645582500445
26.0,4.396995675975492e-27,0.08029625618415956
27.0,4.364702522267644e-27,0.03465877420051371
28.0,4.280631714450712e-27,0.03007505731521576
29.0,4.2461631757247824e-27,0.07818655457338959
30.0,4.2612969060898544e-27,0.017926272302674986
31.0,4.282742550365251e-27,0.08673384463175182
32.0,4.2794412678278184e-27,0.021361189971655647
33.0,4.2513930584775574e-27,0.0328646142550451
34.0,4.3160080148099705e-27,0.036041142483951606
35.0,4.323183471400735e-27,0.02085205687510638
36.0,4.272919428249853e-27,0.08492532264465698
37.0,4.269176790474653e-27,0.030349192027888907
38.0,4.261880942334149e-27,0.009928714106991423
39.0,4.251031883828339e-27,0.06700507401248242
40.0,4.2930457286554814e-27,0.007744332234340809
41.0,4.333873215734554e-27,0.05532371908540421
42.0,4.373514345065559e-27,0.06825533475403887
43.0,4.3724381215695694e-27,0.06469155257709573
44.0,4.374790457448e-27,0.005641861864225834
45.0,4.380571352700851e-27,0.020762025157320993
46.0,4.3474658800719324e-27,0.09315978587220539
47.0,4.2977671512960656e-27,0.03499028898855013
48.0,4.2314751663732514e-27,0.03927139696461377
49.0,4.215939547351681e-27,0.03872434397453421
50.0,4.2082160037660546e-27,0.055150496277573915
51.0,4.208304535616372e-27,0.03407660485648683
52.0,4.241330725421498e-27,0.03383347149089958
53.0,4.273760842705005e-27,0.036313670026185456
54.0,4.305594887466892e-27,0.008526721776696672
55.0,4.288347526254276e-27,0.07544289355700287
56.0,4.2724918006587086e-27,0.07388074322548975
57.0,4.258027710680189e-27,0.002932402235974663
58.0,4.220822791618562e-27,0.05503476975809607
59.0,4.178110637558349e-27,0.037101809658155065
60.0,4.129891248499549e-27,0.08293873383587905
61.0,4.073383016070162e-27,0.006026226119833375
62.0,4.0732444185941286e-27,0.00010046993320860017
63.0,4.1294754560714505e-27,0.11106415095695328
64.0,4.109671173122504e-27,0.05167024168446016
65.0,4.091065334319328e-27,0.03583890384798311
66.0,4.073657939661921e-27,0.03837667396728228
67.0,4.031439619591731e-27,0.02114878377051475
68.0,4.020571278673625e-27,0.09271464426733866
69.0,4.041052916907604e-27,0.008976003894877009
70.0,3.987980534963659e-27,0.019752576366136858
71.0,3.95666545710413e-27,0.008969283216378994
72.0,3.947107683329018e-27,0.013387579050378441
73.0,3.916707474411345e-27,0.010729517736103398
74.0,3.906127540671732e-27,0.049419645200005566
75.0,3.915367882110179e-27,0.03047952723505253
76.0,3.896980852726289e-27,0.04201783363228441
77.0,3.868415346782314e-27,0.13636360690561838
78.0,3.8296713642782534e-27,0.12920110776206245
79.0,3.826668133147106e-27,0.021437354183191343
80.0,3.8306809902568685e-27,0.042229455380106695
81.0,3.8417099356075405e-27,0.026990697555210094
82.0,3.8415295283913084e-27,0.006053550090945275
83.0,3.844968488320435e-27,0.04689128417725141
84.0,3.8520268153949216e-27,0.01658992945242965
85.0,3.83028117106326e-27,0.0549804971559433
