time,flux [mJy],error
0.0,6.991832129152702e-34,0.0004782838695461686
1.0,6.996619452909554e-34,0.020077232503689535
2.0,7.001196773070996e-34,0.024763788595978893
3.0,7.005499099324876e-34,0.09847788346721516
4.0,7.009579108828786e-34,0.0495233014331605
5.0,7.013321847114874e-34,0.00021737837154830447
6.0,7.016978995434155e-34,0.019164796038577948
7.0,7.020269704688005e-34,0.07962021954843346
8.0,7.023120792039204e-34,0.0080935987469101
9.0,7.0255750215318365e-34,0.05619114679358725
10.0,7.027592585084263e-34,0.01728450224278985
11.0,7.029562549792559e-34,0.03794763500647921
12.0,7.031489487711343e-34,0.012790338669314526
13.0,7.033340319464802e-34,0.005515341284766471
14.0,7.034926431843594e-34,0.016740385064533465
15.0,7.036512531747387e-34,0.01082912512125744
16.0,7.03783477175888e-34,0.08579100401247786
17.0,7.038714702375002e-34,0.11185312920151357
18.0,7.039490491417988e-34,0.036133991488392116
19.0,7.040101683602841e-34,0.007230478031165018
20.0,7.040698146877533e-34,0.017758655340488587
21.0,7.041271638090823e-34,0.03957378477780274
22.0,7.041956109005841e-34,0.051989337174646016
23.0,7.042563202902169e-34,0.018507293792861486
24.0,7.0429712770277675e-34,0.07664313158698105
25.0,7.043376988009588e-34,0.008559037318699782
26.0,7.043560659840422e-34,0.004502067909960448
27.0,7.043474227251133e-34,0.007666247773167491
28.0,7.043098236814235e-34,0.03635376823012395
29.0,7.042478885053797e-34,0.00856325158073105
30.0,7.041564337599575e-34,0.0621553094664139
31.0,7.040176289269911e-34,0.01379606221851543
32.0,7.0383621555806375e-34,0.07375969944496723
33.0,7.03582951403093e-34,0.008818154923724819
34.0,7.032930237257653e-34,0.18180508501267523
35.0,7.029370082341687e-34,0.07621492807301689
36.0,7.025171817985328e-34,0.0013988184651635767
37.0,7.020503023791364e-34,0.048019500641717935
38.0,7.015291164061785e-34,0.058998615779724484
39.0,7.009937745619164e-34,0.013634974327770872
40.0,7.00414485424253e-34,0.011654435241810762
41.0,6.998152336351988e-34,0.034133769131364254
42.0,6.991977974417542e-34,0.052356067593564364
43.0,6.985468919590216e-34,0.05994582764073503
44.0,6.978857385007777e-34,0.020233060217827586
45.0,6.972085996514948e-34,0.03732737837595377
