time,flux [mJy],error
0.0,8.044380204804038e-34,0.0004782838695461686
1.0,8.052522769652908e-34,0.020077232503689535
2.0,8.06030814790213e-34,0.024763788595978893
3.0,8.067625800165167e-34,0.09847788346721516
4.0,8.07456532288327e-34,0.0495233014331605
5.0,8.080931194663553e-34,0.00021737837154830447
6.0,8.087151489940025e-34,0.019164796038577948
7.0,8.09274852386945e-34,0.07962021954843346
8.0,8.09759782273162e-34,0.0080935987469101
9.0,8.101772122155e-34,0.05619114679358725
10.0,8.10520371418778e-34,0.01728450224278985
11.0,8.108554347276743e-34,0.03794763500647921
12.0,8.111831797844191e-34,0.012790338669314526
13.0,8.11497980252119e-34,0.005515341284766471
14.0,8.117677556748366e-34,0.016740385064533465
15.0,8.120375289757323e-34,0.01082912512125744
16.0,8.122624234175162e-34,0.08579100401247786
17.0,8.124120872478352e-34,0.11185312920151357
18.0,8.125440380602805e-34,0.036133991488392116
19.0,8.126479932605773e-34,0.007230478031165018
20.0,8.127494432802714e-34,0.017758655340488587
21.0,8.128469860751949e-34,0.03957378477780274
22.0,8.129634049575553e-34,0.051989337174646016
23.0,8.130666630965755e-34,0.018507293792861486
24.0,8.13136070769831e-34,0.07664313158698105
25.0,8.132050765055438e-34,0.008559037318699782
26.0,8.13236316502449e-34,0.004502067909960448
27.0,8.132216155338267e-34,0.007666247773167491
28.0,8.13157664845081e-34,0.03635376823012395
29.0,8.130523218156607e-34,0.00856325158073105
30.0,8.128967701477228e-34,0.0621553094664139
31.0,8.126606826359583e-34,0.01379606221851543
32.0,8.123521239931824e-34,0.07375969944496723
33.0,8.119213572620224e-34,0.008818154923724819
34.0,8.114282310324156e-34,0.18180508501267523
35.0,8.10822698719424e-34,0.07621492807301689
36.0,8.101086329592917e-34,0.0013988184651635767
37.0,8.09314536687111e-34,0.048019500641717935
38.0,8.084280726001443e-34,0.058998615779724484
39.0,8.075175313657063e-34,0.013634974327770872
40.0,8.065322419620142e-34,0.011654435241810762
41.0,8.055129988940701e-34,0.034133769131364254
42.0,8.04462826710088e-34,0.052356067593564364
43.0,8.033557279691581e-34,0.05994582764073503
44.0,8.022311988622431e-34,0.020233060217827586
45.0,8.01079480851928e-34,0.03732737837595377
46.0,7.9993035880833e-34,0.04178302522288102
47.0,7.987998319971629e-34,0.053218646778620496
