time,normalised_flux [arbitary unit],error
0.0,0.49277771939426157,0.07706994009735058
1.0,0.4900704682951953,0.10972198309177061
2.0,0.48719271791878016,0.03146414098644758
3.0,0.4841131348036307,0.04316038000992131
4.0,0.4808689834740688,0.012434336807689704
5.0,0.4774810481894637,0.022952157508138244
6.0,0.4740475385581789,0.04933838663772089
7.0,0.47062936696506746,0.01813488934494327
8.0,0.46705277358131997,0.05365040547204767
9.0,0.46326100769066475,0.0817258766060393
10.0,0.4595764335518946,0.014768115217248114
11.0,0.4561084422533345,0.01081372907169136
12.0,0.4528975075680081,0.012873090633109702
13.0,0.45002651968614404,0.06774734585343228
14.0,0.4471777418222692,0.03057777317307569
15.0,0.44421595703737893,0.038010581155501905
16.0,0.44155715982311294,0.09740379798763611
17.0,0.43931060943360556,0.04951870318408805
18.0,0.43769256457768807,0.013651284677356313
19.0,0.4368840586003044,0.04962552729572427
20.0,0.4369052495624516,0.0527070239186361
21.0,0.4378119980975487,0.014403166308153446
22.0,0.4393549348896343,0.05956132182760937
23.0,0.441396447014089,0.04049893896815399
24.0,0.44361424983249675,0.0073393230352704125
25.0,0.44578691430224765,0.056216075388817566
26.0,0.4481192718727894,0.011844530672636654
27.0,0.45063243493382643,0.052418697917497585
28.0,0.45311628031451706,0.07767875399691623
29.0,0.4555292593547387,0.08674585275318958
30.0,0.45812814004800767,0.08600196946267881
31.0,0.46099396978020096,0.0210778569267992
32.0,0.4640179684439454,0.026957319067981208
33.0,0.46719233863084825,0.038214049249897485
34.0,0.4706361453348376,0.07443224803983499
35.0,0.47438030379790946,0.0394024972570376
36.0,0.47833754774380166,0.006919836626064924
37.0,0.4824856557329458,0.010392261145144993
38.0,0.48686107723791217,0.06366035755409757
39.0,0.49146126676786744,0.0650128862921564
40.0,0.496152553443369,0.0227971923396011
41.0,0.5008750936769848,0.05793038281869648
42.0,0.5059002877459096,0.12696140026076116
43.0,0.5113187499904904,0.005905963730048663
44.0,0.5169177403933747,0.005410321146442562
45.0,0.522654093902995,0.02723379443148173
46.0,0.5285143632115253,0.0018048725669571578
47.0,0.5344468442741513,0.03630857914413093
48.0,0.5406842875383611,0.11044762777646643
49.0,0.5473203192337849,0.010192242246781502
50.0,0.553848871025876,0.05924353930722542
51.0,0.5600925329075357,0.003735430377401379
52.0,0.5658630071542556,0.01753360394225032
53.0,0.5709664354675764,0.050449053579306305
54.0,0.575669083938525,0.021828056964556336
55.0,0.5800520894322371,0.011361912186496508
56.0,0.583839154807791,0.06028345886115314
57.0,0.5869872904193577,0.005151692806308212
58.0,0.5900235430609349,0.04356003434163194
59.0,0.5931436795967435,0.07188798811312629
60.0,0.5961098727716809,0.06963849997699534
61.0,0.5989218409099469,0.05582514879375947
62.0,0.6014791301111033,0.006492877468759758
63.0,0.603692443824004,0.050705772997875036
64.0,0.6059753840960854,0.0029830447432673273
65.0,0.6084835288943836,0.07470265614076173
66.0,0.6113156464109457,0.010801078601260646
67.0,0.6146147478993665,0.002564197382701767
68.0,0.6185606858621528,0.046357848897511815
69.0,0.6232539969843078,0.02422227540292156
70.0,0.6285752600800278,0.011592027452297883
71.0,0.6344802482796685,0.03299828789699071
72.0,0.6405678234839334,0.08575894772284773
73.0,0.6466143844878122,0.03853330516319011
74.0,0.6529234355113135,0.0005973500144663647
75.0,0.6595387958614299,0.0451755463562584
76.0,0.6661393004060018,0.009335243179038128
77.0,0.672650113825398,0.0033257937738149683
78.0,0.679184500097441,0.042213758855440243
79.0,0.6857363501948232,0.0024299869845857045
80.0,0.692333592837057,0.02836595619155165
81.0,0.6989990914812784,0.01480362427197517
82.0,0.7055503557332198,0.007493548125482333
83.0,0.7119177492200656,0.020123723373712914
84.0,0.7181690284021001,0.06197216273964519
85.0,0.724297111116352,0.07831661419466161
86.0,0.7303686628199922,0.05152127097425288
87.0,0.7364314963325902,0.0823342076278758
88.0,0.7424324887125913,0.04405034738906116
89.0,0.7483690435184788,0.05524881317942089
90.0,0.7539451842317746,0.023198897903611206
91.0,0.7590104930737491,0.07610427866038771
92.0,0.7636808253792895,0.011676371234061846
93.0,0.7679480090456687,0.13901732433605435
94.0,0.7720340063200238,0.002699425689250871
95.0,0.7760758033481072,0.04567966822083529
96.0,0.7798329494234487,0.04845187311535412
97.0,0.7832591133118426,0.0054799499650369345
98.0,0.7863814448923747,0.00979471394100285
99.0,0.7891612517474372,0.08764520228723406
100.0,0.7915177626615277,0.07795188308645046
101.0,0.7934153438953893,0.07754705290518728
102.0,0.7952636635989426,0.04384114742785173
103.0,0.7972468437746464,0.08920234445713837
104.0,0.7993365128512474,0.00866057495317432
105.0,0.8016132274912368,0.03150748715239379
106.0,0.8040689043015976,0.019783125105239135
107.0,0.8066917646545084,0.11938828598273826
108.0,0.8092280179586928,0.0013446820172443238
109.0,0.811542535637031,0.027393079868603377
110.0,0.8137518140128914,0.026895337067634136
111.0,0.8158546766667217,0.10921617400091409
112.0,0.8176520347034631,0.026903220031760905
113.0,0.8190873424135144,0.026271223655092227
114.0,0.8202385424952862,0.029090344200025677
115.0,0.8211113750868922,0.0353951069848076
116.0,0.8215967391197999,0.06684982784823978
117.0,0.8216623618266745,0.040302089217362204
118.0,0.8215256216330021,0.08329070099328838
119.0,0.8212711181309635,0.025673661887975974
120.0,0.8209742551903737,0.035336084448282894
121.0,0.8207201040676676,0.041487578118733485
122.0,0.8204315843546961,0.02065850172988213
123.0,0.8200956109995304,0.010107935790902132
124.0,0.8197949438294173,0.029399372504159887
125.0,0.8195439415233412,0.03996218860991472
126.0,0.8190800919819623,0.05292218901534005
127.0,0.818297459096952,0.04113803351023837
128.0,0.8170140124843609,0.018448059431822452
129.0,0.8150967554566338,0.057714013531970525
130.0,0.8128023765938704,0.0028327527172820974
