taus,psis
0.0,1.2072160883649008e-20
0.1,1.7598699986162248e-20
0.2,2.3343477567580266e-20
0.30000000000000004,2.8604720912682286e-20
0.4,3.290047220024391e-20
0.5,3.611769778102077e-20
0.6000000000000001,3.8390412492637575e-20
0.7000000000000001,3.999691438993032e-20
0.8,4.1143489772050645e-20
0.9,4.190070795915429e-20
1.0,4.2295479293098625e-20
1.1,4.232598926414665e-20
1.2000000000000002,4.2036978569248936e-20
1.3,4.1551312447472516e-20
1.4000000000000001,4.093252034689092e-20
1.5,4.0250974430078845e-20
1.6,3.952281819648416e-20
1.7000000000000002,3.877136704494707e-20
1.8,3.802013716024884e-20
1.9000000000000001,3.727251808638377e-20
2.0,3.6499784346947754e-20
2.1,3.5682350169876834e-20
2.2,3.4803960341746064e-20
2.3000000000000003,3.385998305551485e-20
2.4000000000000004,3.2863569768357536e-20
2.5,3.1839696436686756e-20
2.6,3.078860310356508e-20
2.7,2.974251225049126e-20
2.8000000000000003,2.8711851502246613e-20
2.9000000000000004,2.7699935198661976e-20
3.0,2.6723940975469776e-20
3.1,2.5777721390064116e-20
3.2,2.4868872446710883e-20
3.3000000000000003,2.3985011557084017e-20
3.4000000000000004,2.3121453959059834e-20
3.5,2.226633803007752e-20
3.6,2.1413120646384802e-20
3.7,2.0577810562813416e-20
3.8000000000000003,1.975863221673339e-20
3.9000000000000004,1.8972232596986386e-20
4.0,1.8219554934709155e-20
4.1000000000000005,1.7492843523448148e-20
4.2,1.678269219300435e-20
4.3,1.608703246571399e-20
4.4,1.540265227726129e-20
4.5,1.4738324419316985e-20
4.6000000000000005,1.4102306876655034e-20
4.7,1.3491054591642785e-20
4.800000000000001,1.2910179565172788e-20
4.9,1.2353410588185534e-20
5.0,1.182671540949744e-20
5.1000000000000005,1.1328420171228324e-20
5.2,1.0851861478621441e-20
5.300000000000001,1.0391406701183988e-20
5.4,9.936326897662897e-21
5.5,9.486247690147481e-21
5.6000000000000005,9.046242942766333e-21
5.7,8.62220660301723e-21
5.800000000000001,8.219160154442894e-21
5.9,7.842335947030112e-21
6.0,7.488396461051865e-21
6.1000000000000005,7.155135580218237e-21
6.2,6.838648196029536e-21
6.300000000000001,6.533852314947689e-21
6.4,6.2390867430020956e-21
6.5,5.9511408853744245e-21
6.6000000000000005,5.673659991038421e-21
6.7,5.408680706115813e-21
6.800000000000001,5.158092513018979e-21
6.9,4.920647306206431e-21
7.0,4.692761187119508e-21
7.1000000000000005,4.47222635030037e-21
7.2,4.259017828725751e-21
7.300000000000001,4.0550887472921404e-21
7.4,3.8611168399600116e-21
7.5,3.679210750106875e-21
7.6000000000000005,3.507649850242885e-21
7.7,3.345460971006318e-21
7.800000000000001,3.1909540078329644e-21
7.9,3.0422738423926002e-21
8.0,2.899480365083734e-21
8.1,2.762232450427771e-21
8.200000000000001,2.6319597619793683e-21
8.3,2.507629264265048e-21
8.4,2.3894405229533137e-21
8.5,2.2763397601687036e-21
8.6,2.1679609269940726e-21
8.700000000000001,2.0643182844433146e-21
8.8,1.9653564099344075e-21
8.9,1.871706530407292e-21
9.0,1.7828234870096473e-21
9.1,1.698621258870826e-21
9.200000000000001,1.6181893632302292e-21
9.3,1.5413884286888287e-21
9.4,1.4677440605546232e-21
9.5,1.3970178585952683e-21
9.600000000000001,1.3295975674576398e-21
9.700000000000001,1.2652236868992432e-21
9.8,1.2042803579474456e-21
9.9,1.1463451000158946e-21
10.0,1.0915673813497711e-21
10.100000000000001,1.0398549936069723e-21
10.200000000000001,9.908257904361305e-22
10.3,9.44236432709601e-22
10.4,8.99789188442422e-22
10.5,8.574711950355426e-22
10.600000000000001,8.171880175072284e-22
10.700000000000001,7.787201007569866e-22
10.8,7.415025700245554e-22
10.9,7.056357250141417e-22
11.0,6.711003020667663e-22
11.100000000000001,6.382062859188546e-22
11.200000000000001,6.074221458155298e-22
11.3,5.783985015060159e-22
11.4,5.510206053561438e-22
11.5,5.24779559736851e-22
11.600000000000001,4.995676532635335e-22
11.700000000000001,4.755074246197943e-22
11.8,4.526723197970761e-22
11.9,4.310296444974082e-22
12.0,4.1047630616645614e-22
12.100000000000001,3.9095684504244916e-22
12.200000000000001,3.72386606505009e-22
12.3,3.547211113572594e-22
12.4,3.378813454570632e-22
12.5,3.217132521321496e-22
12.600000000000001,3.063682469616273e-22
12.700000000000001,2.9163237545295102e-22
12.8,2.7777179600244765e-22
12.9,2.6458054076776575e-22
13.0,2.5206175138623236e-22
13.100000000000001,2.4007725874231577e-22
13.200000000000001,2.2859327242804686e-22
13.3,2.176021379078293e-22
13.4,2.071179263228866e-22
13.5,1.972258387535785e-22
13.600000000000001,1.8788052853595192e-22
13.700000000000001,1.790265683083153e-22
13.8,1.705861328791996e-22
13.9,1.6252574026247739e-22
14.0,1.548933619607728e-22
14.100000000000001,1.476139865290126e-22
14.200000000000001,1.4066613910169544e-22
14.3,1.3398650088450044e-22
14.4,1.2760181361289283e-22
14.5,1.2148640309829167e-22
14.600000000000001,1.1568119009202843e-22
14.700000000000001,1.1018047573096144e-22
14.8,1.049704474504242e-22
14.9,1.0003310964539262e-22
15.0,9.533577935639723e-23
15.100000000000001,9.08718532202465e-23
15.200000000000001,8.658800050385013e-23
15.3,8.249829198220085e-23
15.4,7.85818628070885e-23
15.5,7.485607679719822e-23
15.600000000000001,7.130246771365968e-23
15.700000000000001,6.792853770844588e-23
15.8,6.472472581310816e-23
15.9,6.168526789081695e-23
16.0,5.879260910394052e-23
16.1,5.604878541510746e-23
16.2,5.342249596899142e-23
16.3,5.0916677874143795e-23
16.400000000000002,4.852161108371422e-23
16.5,4.6240120490876593e-23
16.6,4.40733363585505e-23
16.7,4.202092127365626e-23
16.8,4.0066573012957386e-23
16.900000000000002,3.820418295338289e-23
17.0,3.6412288743493704e-23
17.1,3.470222616778713e-23
17.2,3.306915411592624e-23
17.3,3.151099332358065e-23
17.400000000000002,3.0030142184759315e-23
17.5,2.861422109424938e-23
17.6,2.726888868048898e-23
17.7,2.5990316105939152e-23
17.8,2.4779389137746616e-23
17.900000000000002,2.3632831464940524e-23
18.0,2.2547571542108674e-23
18.1,2.1513185696872476e-23
18.2,2.052382939350987e-23
18.3,1.9573366874298822e-23
18.400000000000002,1.8658751008669713e-23
18.5,1.7783033405944904e-23
18.6,1.6949422965713952e-23
18.7,1.616067946413791e-23
18.8,1.5412310759456804e-23
18.900000000000002,1.4702253919971862e-23
19.0,1.4022579466235445e-23
19.1,1.337375918821948e-23
19.200000000000003,1.275172319513135e-23
19.3,1.2160014449584506e-23
19.400000000000002,1.1594150155769232e-23
19.5,1.1027919782655528e-23
19.6,1.0433744826781859e-23
19.700000000000003,9.75433012034569e-24
19.8,8.910117181635358e-24
19.900000000000002,7.831552412670465e-24
20.0,6.504692263812279e-24
20.1,5.011745581626223e-24
20.200000000000003,3.520730280926034e-24
20.3,2.2221877808852356e-24
20.400000000000002,1.2439642361630745e-24
20.5,6.099560597101903e-25
20.6,2.572921062733757e-25
20.700000000000003,8.979969772234641e-26
20.8,2.172465933104693e-26
20.900000000000002,0.0
21.0,0.0
21.1,0.0
21.200000000000003,0.0
21.3,0.0
21.400000000000002,0.0
21.5,0.0
21.6,0.0
21.700000000000003,0.0
21.8,0.0
21.900000000000002,0.0
22.0,0.0
22.1,0.0
22.200000000000003,0.0
22.3,0.0
22.400000000000002,0.0
22.5,0.0
22.6,0.0
22.700000000000003,0.0
22.8,0.0
22.900000000000002,0.0
23.0,0.0
23.1,0.0
23.200000000000003,0.0
23.3,0.0
23.400000000000002,0.0
23.5,0.0
23.6,0.0
23.700000000000003,0.0
23.8,0.0
