time,flux [mJy],error
0.0,1.2884991098475145e-27,0.023158154484867036
1.0,1.293660392352882e-27,0.027266369162544952
2.0,1.2988216748582496e-27,0.06108185053411291
3.0,1.3117291660380332e-27,0.06305083351228039
4.0,1.3246366572178167e-27,0.018616539500078286
5.0,1.3350570256743082e-27,0.03528381902563827
6.0,1.3454773941307996e-27,0.027496365438819066
7.0,1.3381389421767006e-27,0.07037864059684204
8.0,1.3308004902226017e-27,0.012356434549095172
9.0,1.3354973581812581e-27,0.009983048878269535
10.0,1.3401942261399146e-27,0.03207122743789502
11.0,1.3380063581286692e-27,0.10411492358888857
12.0,1.3358184901174237e-27,0.052863902455220324
13.0,1.3339584193145474e-27,0.012154884237443563
14.0,1.332098348511671e-27,0.04838578647500344
15.0,1.3334454719061574e-27,0.013942041941436832
16.0,1.3347925953006436e-27,0.0028897054848267866
17.0,1.334470725046612e-27,0.033733666186333576
18.0,1.3341488547925804e-27,0.0384391397958785
19.0,1.3419453101412953e-27,0.008550092076820509
20.0,1.34974176549001e-27,0.011541246602574317
21.0,1.3531393778776171e-27,0.07004453948706306
22.0,1.356536990265224e-27,0.07827713091507368
23.0,1.355929071480442e-27,0.11449682418812457
24.0,1.3553211526956603e-27,0.05987923483565234
25.0,1.3567167216480757e-27,0.038286645582500445
26.0,1.3581122906004909e-27,0.08029625618415956
27.0,1.3588065480326391e-27,0.03465877420051371
28.0,1.3595008054647876e-27,0.03007505731521576
29.0,1.367371767066766e-27,0.07818655457338959
30.0,1.3752427286687445e-27,0.017926272302674986
31.0,1.3724838958608772e-27,0.08673384463175182
32.0,1.3697250630530098e-27,0.021361189971655647
33.0,1.3702129213035623e-27,0.0328646142550451
34.0,1.370700779554115e-27,0.036041142483951606
35.0,1.3639540384041998e-27,0.02085205687510638
36.0,1.3572072972542846e-27,0.08492532264465698
37.0,1.3400312354069479e-27,0.030349192027888907
38.0,1.322855173559611e-27,0.009928714106991423
39.0,1.3257699759555665e-27,0.06700507401248242
40.0,1.3286847783515221e-27,0.007744332234340809
41.0,1.332865575534545e-27,0.05532371908540421
42.0,1.3370463727175679e-27,0.06825533475403887
43.0,1.3312211219841095e-27,0.06469155257709573
44.0,1.3253958712506514e-27,0.005641861864225834
45.0,1.3383018017456436e-27,0.020762025157320993
46.0,1.3512077322406359e-27,0.09315978587220539
47.0,1.3408759057508338e-27,0.03499028898855013
48.0,1.330544079261032e-27,0.03927139696461377
49.0,1.329642375972412e-27,0.03872434397453421
50.0,1.3287406726837918e-27,0.055150496277573915
51.0,1.3264086451483837e-27,0.03407660485648683
52.0,1.3240766176129757e-27,0.03383347149089958
53.0,1.3324275763011919e-27,0.036313670026185456
54.0,1.3407785349894082e-27,0.008526721776696672
55.0,1.3486234308160495e-27,0.07544289355700287
56.0,1.356468326642691e-27,0.07388074322548975
57.0,1.356066922224279e-27,0.002932402235974663
58.0,1.355665517805867e-27,0.05503476975809607
59.0,1.3566518807278319e-27,0.037101809658155065
60.0,1.3576382436497967e-27,0.08293873383587905
61.0,1.3507714908256687e-27,0.006026226119833375
62.0,1.3439047380015412e-27,0.00010046993320860017
63.0,1.3303623917338147e-27,0.11106415095695328
64.0,1.3168200454660886e-27,0.05167024168446016
65.0,1.3135735395123215e-27,0.03583890384798311
66.0,1.3103270335585546e-27,0.03837667396728228
67.0,1.31024735476839e-27,0.02114878377051475
68.0,1.3101676759782253e-27,0.09271464426733866
69.0,1.3167397568712218e-27,0.008976003894877009
70.0,1.3233118377642187e-27,0.019752576366136858
71.0,1.3296218964455215e-27,0.008969283216378994
72.0,1.3359319551268242e-27,0.013387579050378441
73.0,1.3323116980408508e-27,0.010729517736103398
74.0,1.3286914409548772e-27,0.049419645200005566
75.0,1.3256468420759734e-27,0.03047952723505253
76.0,1.3226022431970695e-27,0.04201783363228441
77.0,1.3149775974853652e-27,0.13636360690561838
78.0,1.3073529517736608e-27,0.12920110776206245
79.0,1.2975313663784763e-27,0.021437354183191343
80.0,1.2877097809832918e-27,0.042229455380106695
81.0,1.2762487693600706e-27,0.026990697555210094
82.0,1.2647877577368493e-27,0.006053550090945275
83.0,1.2761295184075192e-27,0.04689128417725141
84.0,1.2874712790781892e-27,0.01658992945242965
85.0,1.2834222707018576e-27,0.0549804971559433
86.0,1.279373262325526e-27,0.002079750721530014
87.0,1.2758224606953859e-27,0.016196550147194705
88.0,1.272271659065246e-27,0.016976834729606743
89.0,1.2637236548046729e-27,0.031681402784568324
90.0,1.2551756505441e-27,0.03595800748267461
91.0,1.259316735361138e-27,0.03879878991062499
92.0,1.263457820178176e-27,0.008544975070582382
93.0,1.2527333873522715e-27,0.17401653383906152
94.0,1.2420089545263673e-27,0.04603410300197168
95.0,1.2401070942281416e-27,0.02024275648262766
96.0,1.2382052339299161e-27,0.05377748386187351
97.0,1.2321012103264634e-27,0.044141689152997515
98.0,1.2259971867230108e-27,0.029787139847558958
99.0,1.2279174107887301e-27,0.10641901228853022
100.0,1.2298376348544496e-27,0.025052044014451783
101.0,1.2261725026711169e-27,0.02190400108688487
102.0,1.2225073704877842e-27,0.0072571134083808195
103.0,1.2147438829261291e-27,0.0027413481268031776
104.0,1.206980395364474e-27,0.03973290699887382
105.0,1.2064591131101289e-27,0.07869095832533704
106.0,1.2059378308557838e-27,0.02119156583848968
107.0,1.2082507106250718e-27,0.0568905777529812
108.0,1.21056359039436e-27,0.11701174628233793
109.0,1.21060445022282e-27,0.013105788236735956
110.0,1.2106453100512796e-27,0.029623347558924637
111.0,1.2121468294766439e-27,0.03208446816706613
112.0,1.2136483489020081e-27,0.004997434899964952
113.0,1.2093281405153718e-27,0.003967414015335667
114.0,1.2050079321287354e-27,0.06046676727604568
115.0,1.202428184120079e-27,0.030910522569030454
116.0,1.1998484361114226e-27,0.006114427304052138
117.0,1.195385671192505e-27,0.05741607793230377
118.0,1.1909229062735876e-27,0.06265046275446566
119.0,1.1884584608926285e-27,0.041682089287106844
120.0,1.1859940155116695e-27,0.029267765863933204
121.0,1.1807540104803183e-27,0.0430927273001018
122.0,1.1755140054489672e-27,0.0506181294082366
123.0,1.1646902551367974e-27,0.013549888590416549
124.0,1.1538665048246273e-27,0.05904456665107225
125.0,1.1549788606441583e-27,0.05333395255572827
126.0,1.1560912164636894e-27,0.027050999984484903
127.0,1.1536015800493915e-27,0.01209005698511123
128.0,1.1511119436350936e-27,0.0032522723870016396
129.0,1.1410487775171326e-27,0.06843723732617456
130.0,1.1309856113991715e-27,0.03321962456293447
131.0,1.1340203489043971e-27,0.06117998184295027
132.0,1.1370550864096225e-27,0.06153085356926276
133.0,1.1315640455756157e-27,0.018551446090260316
134.0,1.126073004741609e-27,0.11815245203415532
135.0,1.1265968519851665e-27,0.004117911998514054
136.0,1.1271206992287241e-27,0.06796278610139221
137.0,1.1318308454890296e-27,0.0013038889663421723
138.0,1.136540991749335e-27,0.021673235410680936
139.0,1.1374708947374358e-27,0.011795004167417017
140.0,1.1384007977255366e-27,0.08295294403679887
141.0,1.1455753719530525e-27,0.0335447701755944
142.0,1.1527499461805684e-27,0.051870594463758905
143.0,1.145124119794197e-27,0.029473136459707158
144.0,1.1374982934078256e-27,0.006951479332178697
145.0,1.1401145504626883e-27,0.023062797600366166
146.0,1.142730807517551e-27,0.05790749336672079
147.0,1.1385790793205835e-27,0.03189608103416675
148.0,1.134427351123616e-27,0.02616939179985004
149.0,1.1291801819765036e-27,0.012267618571974843
150.0,1.1239330128293912e-27,0.03343333468861195
151.0,1.1205650075011985e-27,0.013647707142063368
152.0,1.1171970021730057e-27,0.002914380072458131
153.0,1.1155300081799226e-27,0.00820702796670414
154.0,1.1138630141868397e-27,0.1334677193936423
155.0,1.1144958334410977e-27,0.035874923723969186
156.0,1.1151286526953555e-27,0.05544341094039972
157.0,1.1081895560587253e-27,0.026647867141875482
158.0,1.1012504594220952e-27,0.0022227876684390506
159.0,1.1071996444549721e-27,0.02954199938856017
160.0,1.1131488294878492e-27,0.08502617869635642
161.0,1.1163224171959263e-27,0.007045393349625524
162.0,1.1194960049040035e-27,0.05834931897185646
163.0,1.1102291775204558e-27,0.03414940884684733
164.0,1.1009623501369083e-27,0.008729590946427952
165.0,1.110551284610209e-27,0.014323729550137942
166.0,1.1201402190835096e-27,0.09167525991076665
167.0,1.1321234448473101e-27,0.023992271862783812
168.0,1.1441066706111107e-27,0.0177802272003493
169.0,1.1514863978247826e-27,0.02633865873980943
170.0,1.1588661250384547e-27,0.023008611398571757
171.0,1.1577315669555762e-27,0.029355391839036613
172.0,1.1565970088726976e-27,0.0028977204667430243
173.0,1.1499611503128783e-27,0.052874298074848475
174.0,1.1433252917530587e-27,0.04849538603297386
175.0,1.149940385975904e-27,0.0073728071564128795
176.0,1.1565554801987492e-27,0.04609161794028822
177.0,1.1540540488018279e-27,0.059474419160808735
178.0,1.1515526174049065e-27,0.03033371680763306
179.0,1.1591522380752374e-27,0.04120225664842036
180.0,1.1667518587455683e-27,0.030681128652979096
181.0,1.1679678335929419e-27,0.03203462307948328
182.0,1.1691838084403154e-27,0.06349526334899223
183.0,1.17514158880819e-27,0.039858563811514106
184.0,1.1810993691760647e-27,0.03873169050635372
185.0,1.1831350998763146e-27,0.04720183754511822
186.0,1.1851708305765647e-27,0.0006652593747980321
187.0,1.1893476898502445e-27,0.016328464731098707
188.0,1.1935245491239242e-27,0.057257291434426795
189.0,1.1933341086623667e-27,0.13496031596360678
190.0,1.1931436682008093e-27,0.0573583554385381
191.0,1.2039502802851914e-27,0.0826341108187964
192.0,1.2147568923695735e-27,0.008183273150328413
193.0,1.215143314482242e-27,0.0377895428622341
194.0,1.2155297365949105e-27,0.05356200758307102
195.0,1.2176144067602829e-27,0.045290104650673214
196.0,1.2196990769256553e-27,0.030080695808375975
197.0,1.2309279578355832e-27,0.09142063521339024
198.0,1.2421568387455115e-27,0.08544348166915436
199.0,1.2332250601065369e-27,0.007194799694397701
200.0,1.2242932814675623e-27,0.04871719943979039
201.0,1.2159612391800635e-27,0.05877832462693849
202.0,1.2076291968925646e-27,0.03426723316727059
203.0,1.2132812939323563e-27,0.04902570248568323
